ad_creation_time,ad_creative_body,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_title,ad_delivery_start_time,ad_delivery_stop_time,currency,funding_entity,page_id,page_name,spend_lower,spend_upper,adlib_id,impressions_lower,impressions_upper,potential_reach_lower,potential_reach_upper,ad_snapshot_url
2021-07-12,"Krátké a výstižné. :-) Co si o tom myslíte? CZEXIT! 👍

Česká republika na 1. místě! 👍❤🇨🇿🇨🇿🇨🇿",NA,NA,NA,2021-07-12,NA,CZK,Svoboda a přímá demokracie - SPD,179497582061065,Tomio Okamura - SPD,0,99,407615397229860,1000,1999,NA,NA,https://www.facebook.com/ads/archive/render_ad/?id=407615397229860&access_token={access_token}
2021-07-12,"I díky hlasům SPD byla ve Sněmovně schválena novela zákona o hmotné nouzi, která odebírá část sociálních dávek nepřizpůsobivým. Cílem této novely je, aby nepřizpůsobiví občané, kteří neplatí pokuty za vybrané přestupky a zároveň pobírají sociální dávky, přišli o část doplatku na bydlení i o příspěvek na živobytí. Úřady jim z těchto dávek nyní neuhrazené pokuty mají strhávat. Stejně by postupovaly v případě nepřihlášení dítěte k zápisu k povinné školní docházce a v případě zanedbávání péče o povinnou školní docházku žáka. Úřady práce by po oznámení musely dávky snížit. Částky, které by lidem nevyplatily, by putovaly do rozpočtů příslušných obcí. Proti této novele hlasovali poslanci ČSSD, Pirátů a STAN. Za SPD říkáme, že pracovat se musí vyplatit více než nepracovat, přestože pracovat můžete. Nesmí se vyplácet být na sociálních dávkách a k tomu ještě porušovat zákony. SPD předkládá ještě svůj vlastní mnohem komplexnější návrh. Náš návrh ale neustále blokují Piráti, KDU-ČSL a ČSSD, čímž tyto strany fakticky podporují nepřizpůsobivé. Pro SPD je slušný a pracující občan na 1. místě!

 Znovu podpoříme novelu stavebního zákona, kterou odmítl Senát, protože chceme zjednodušit a zrychlit stavební řízení a umožnit tak lidem, aby si snáze pořídili vlastní bydlení. Na stávající schůzi Sněmovny jsou i zákony vrácené Senátem. Jedním z nich je i novela stavebního zákona. Cílem novely zákona je zefektivnění právní úpravy procesu povolovacího řízení ke stavbám. Je zcela jasné, že krom toho, že špatné zákony stavby zbytečně prodlužují, tak je také prodražují. Poslanci za SPD proto podpoří novelu stavebního zákon, který Senát zamítl, protože jsme pro zrychlení a zlevnění stavebního řízení, kde je Česká republika na ostudném celkovém 167. místě ve světě, a patří tak mezi nejhorší státy světa v délce stavebního řízení. Nejde však pouze o to zjednodušit stavební řízení u strategických projektů, ale je potřeba zjednodušit stavební předpisy pro obyčejné občany, kteří staví rodinný dům.

Hnutí SPD se připojuje k Deklaraci o budoucnosti Evropy Orbána, Salviniho, Kaczynského či Le Penové. Společně odmítáme diktát Bruselu. Deklaraci o budoucnosti Evropy minulý týden podepsalo 16 hlavních evropských vlasteneckých politických stran ze 14 zemí (Orbán, Salvini, Le Penová, Kaczynski atd.), které vyjádřily nespokojenost se směřováním Evropské unie. Je potvrzeno, že předseda hnutí SPD Tomio Okamura podepíše tuto společnou deklaraci na společném jednání v září. Společně požadujeme návrat kompetencí národním státům. Hnutí SPD je členem evropské vlastenecké frakce Identita a demokracie (ID) v Evropském parlamentu společně s italskou Ligou Mattea Salviniho, Národním sdružením Marine Le Penové a dalšími hlavními vlasteneckými stranami Evropy.

Hnutí SPD schválilo volební program „Naše vlast, naše rodiny, náš bezpečný domov"". Program bude od čtvrtka tento týden k vidění na www.spd.cz Dne 11. července 2021 se konalo v Praze politické grémium hnutí SPD, které přijalo hlasy více než 200 zástupců členů ze všech regionů České republiky deklaratorní usnesení, ve kterém vyslovilo souhlas s předsednictvem představeným návrhem programu pro sněmovní volby 2021 s názvem „Naše vlast, naše rodiny, náš bezpečný domov"". Zároveň byla tímto usnesením vyzvána členská základna a orgány hnutí k maximálnímu nasazení ve všech fázích kampaně, která povede k maximálnímu úspěchu hnutí SPD v nadcházejících sněmovních volbách 2021. Pro Vás o podporu. Děkuju",NA,NA,Tomio Okamura: Dnešní aktuality 12.7.2021,2021-07-12,NA,CZK,Svoboda a přímá demokracie - SPD,179497582061065,Tomio Okamura - SPD,600,699,1085176392231723,15000,19999,1000001,NA,https://www.facebook.com/ads/archive/render_ad/?id=1085176392231723&access_token={access_token}
2021-07-12,Dovolím si s panem Hamáčkem nesouhlasit. Hnutí SPD odmítá platit dluhy států EU. Hnutí SPD odmítá euro!,NA,NA,NA,2021-07-12,NA,CZK,Svoboda a přímá demokracie - SPD,179497582061065,Tomio Okamura - SPD,100,199,515204173136007,3000,3999,1000001,NA,https://www.facebook.com/ads/archive/render_ad/?id=515204173136007&access_token={access_token}
2021-07-12,"Co si o tom myslíte? :-)

Stop diktatuře Bruselu, stop diktatuře sluníčkářů!",NA,NA,NA,2021-07-12,NA,CZK,Svoboda a přímá demokracie - SPD,179497582061065,Tomio Okamura - SPD,100,199,1665544630318321,1000,1999,NA,NA,https://www.facebook.com/ads/archive/render_ad/?id=1665544630318321&access_token={access_token}
2021-07-12,"Zadlužení České republiky hrozivě roste. Kdyby radši vláda přestala vyhazovat peníze na nepřizpůsobivé, politické neziskovky, solární barony a předražené zakázky… Jak informovaly Novinky.cz, ČR dosud patřila mezi nejméně zadlužené země Evropské unie. V posledních letech byl dluh republiky v poměru k hrubému domácímu produktu čtvrtý nejnižší z celé sedmadvacítky. Dle výhledu Mezinárodního měnového fondu se  však Česko během příštích tří až čtyř let jistě posune mimo první desítku. Veřejný dluh ČR, tedy dluh státu, municipalit a zdravotních pojišťoven, ke konci roku přesáhne podle všech projekcí 2,5 bilionu korun. Na konci loňska činil 2,15 bilionu. Samotný státní dluh (tj. bez krajů, obcí atd.) přitom dosahoval 2,05 bilionu Kč.

Loni státu vykázal deficit 367,4 miliardy Kč, pro letos je schválen schodek 500 miliard. Letos v lednu byl rozpočet v minusu 31,5 miliardy, v květnu už deficit dosáhl 255 miliard. Už pro letošek MMF predikuje meziroční snížení deficitu u 21 zemí z unijní sedmadvacítky. „Česko tak patří mezi pouhých šest zemí, u nichž je pro rok 2021 předpokládáno další prohloubení deficitu veřejných financí. V případě ČR je navíc toto prohloubení ve výši 1,8 procentního bodu, druhé nejvyšší po Estonsku,“ uvedla pro Právo předsedkyně Národní rozpočtové rady Eva Zamrazilová.

Pro rok 2022 již MMF pro všechny země EU kromě Česka a Estonska očekává nižší deficit veřejných financí ve srovnání s rokem 2020. Výhled salda českých veřejných financí pro rok 2023 ve výši –5,6 procenta HDP představuje druhý nejvyšší deficit v rámci EU 27 po Rumunsku (s hodnotou –6,2 procenta HDP). Podle ministerstva financí by měl veřejný dluh České republiky v roce 2024 odpovídat hrozivým 54,6 % HDP v případě scénáře autonomního vývoje veřejných financí, kdyby nebyly přijímány a prosazovány úspory. 

Tato vláda stále neprovádí škrty ve zbytných výdajích států, na které hnutí SPD upozorňuje dlouhodobě. Jedná se zejména o snížení byrokracie na ministerstvech a krajích, zrušení předražených armádních zakázek, omezení plateb solárním baronům a politickým neziskovkám. Je potřeba zdanit zisky a dividendy nadnárodních koncernů, které jsou vyváděny do zahraničí. Je potřeba také zrušit výplatu neadresných sociálních dávek těm, kteří nikdy nepracovali, přestože pracovat mohou. Na druhou stranu Vláda ANO a ČSSD neprovádí žádnou pro rodinnou politiku a masivní podporu výstavby bytů pro mladé rodiny. To je pro hnutí SPD zcela nepřijatelné.",NA,NA,NA,2021-07-12,NA,CZK,Svoboda a přímá demokracie - SPD,179497582061065,Tomio Okamura - SPD,100,199,883904828884517,2000,2999,1000001,NA,https://www.facebook.com/ads/archive/render_ad/?id=883904828884517&access_token={access_token}
2021-07-12,"Průběh volební kampaně charakterizuje snaha premiéra Babiše ukázat se jako důsledný obhájce zájmů České republiky proti EU. Skutečnost je jiná. Babiš není český Orbán. Jinak mluví doma a jinak v Bruselu. Europoslanci hnutí ANO dlouhodobě hlasují v Evropském parlamentu za zájmy EU, nikoli pro ČR. 

Stejně naivní je politická představa hnutí Přísaha, že nelze odejít z EU, ale lze v rámci EU posilovat pozici České republiky. Ne, pokračující členství v EU bude nutně znamenat další postupné oslabování státní suverenity České republiky, přijetí eura a migrační politiky EU. 

Součástí dezinformační předvolební kampaně proti vlastencům jsou i probruselská média, například Seznamzprávy, Respekt, Deník N, některé pořady ČT či Reflex, který byl již dokonce letos i pravomocně soudně usvědčen ze lží vůči předsedovi SPD Tomio Okamurovi. 

Hnutí SPD, jako jediný parlamentní politický subjekt, tvrdě hájí zájmy České republiky a prosazuje referendum o vystoupení z EU, aby sami naši občané rozhodli o své budoucnosti ve své zemi.

Premiér Andrej Babiš tvrdí, že bojuje proti diktátu Bruselu, migraci a ekofanatikům, přitom dělá pravý opak a prosazuje stejné věci jako piráti a demoblok. Premiér se ve svém projevu ve sněmovně vymezil silně proti pirátům. Krásná slova, ale skutek utek. Svými činy premiér popírá tato slova!‼️

„Piráti jsou novou českou Stranou zelených. V Evropském parlamentu jsou v jejich frakci a podporují jejich nápady – buď bezmyšlenkovitě a s otevřenou náručí přijímají migranty, nebo navrhují taková zelená opatření, která zlikvidují náš průmysl. Jediný důvod, proč má tato partaj momentálně takovou podporu, je, že se jmenují Piráti,“ rozjel se Babiš.    

„Fakt tady ale lidé chtějí další tunel se solárními barony nebo ochromení naší energetiky zeleným fanatismem? My tady teď budeme spíš potřebovat vládu, která nás vyvede z ekonomických problémů a zabrání ilegální migraci. Ta teď opět začíná být velkým problémem na jižních hranicích EU. Do Španělska přišlo minimálně osm tisíc migrantů… Nechci tady nějaký fanatický a multikulturní Pirátostán.“

Babiš při hlasování sněmovny o nedůvěře jeho vládě mimo jiné řekl, že je „svrchovaným premiérem této země a nikdo ze zahraničí nám tady do toho nebude kecat“. Opřel se tím tak do spojenectví Pirátů a dalších opozičních stran s Bruselem. Premiér také řekl, že odmítá sdílenou ekonomiku: „Nechceme! My nechceme sdílet naše auta! My nechceme sdílet naše byty! My nechceme sdílet naši zemi! My nechceme, aby naši zemi řídil Evropský parlament.“

Krásná slova, ale skutek utek. Svými činy premiér popírá tato slova. Jaká je ale skutečnost? Podle Babiše příležitostná česká kritika evropského integračního procesu neznamená, že by země celkově stála proti užší integraci. To znamená, že premiér Babiš podporuje další předávání pravomocí do Bruselu a že podporuje další užší centralizaci. Babiš podporuje i přijetí eura ve vhodný čas. To hnutí SPD jasně odmítá! Hnutí SPD bojuje za naši suverenitu a za vystoupení z EU!
 
Babiš podpořil unijní Zelený úděl (Green Deal), který bude stát naši ekonomiku biliony korun a ekonomiky států EU celkem biliony eur. Stejně tak kývl na eurodluhopisy (750 miliard eur), které zadluží další generace, a na evropské daně, které bude Evropská unie vybírat.

Babišova vláda plánuje za boj proti CO2 vyhodit do vzduchu obrovské peníze. Ministr průmyslu Karel Havlíček řekl, že mezi roky 2010 až 2030 bude vyplacen na podporu obnovitelných zdrojů energie až bilion korun, z toho 570 až 580 miliard korun solárním elektrárnám. Nové tuzemské obnovitelné zdroje budou mít v nejbližších sedmi letech z evropských fondů typu Modernizačního fondu a Plánu obnovy k dispozici kolem 100 miliard korun.
 
Celkové náklady na takzvané podporované zdroje energie (POZE) v posledních letech každoročně činí přes 40 miliard korun. Předloni to bylo 45,4 miliardy Kč, solární elektrárny obdržely 29,1 miliardy korun. Od roku 2006 bylo na podporu POZE v Česku vyplaceno přes 385 miliard korun, informovala ČTK.

A pokud jde o migraci, je to podobné. Babiš například ještě jako ministr financí navrhoval, že by uprchlíci mohli v ČR zaplnit místa, na kterých nechtějí pracovat Češi. „Máme 18 tisíc volných míst pro pomocné dělníky. Pokud naši občané nechtějí obsazovat tyto pozice, tak ano, proč ne,“ řekl o možnosti zaměstnávat běžence v Česku Babiš.
 
Babiš již jako premiér podpořil i Marakéšskou deklaraci, v níž „partneři uznávají potřebu povzbuzovat a posilňovat cesty zákonné migrace… mezi Evropou a zeměmi severní, západní a střední Afriky“. Tu jménem ČR odsouhlasil tehdejší ministr vnitra Metnar z ANO.
 
Premiér Babiš podpořil také globální pakt o uprchlících. „ČR nemůže být kritizována za nedostatek solidarity s lidmi, kteří pomoc skutečně potřebují, protože ČR podporuje Globální kompakt OSN o uprchlících, jehož návrh byl dojednán v Ženevě dne 6. 7. 2018...Vyjadřuje i solidaritu se zeměmi nacházejícími se v blízkosti konfliktů, v jejichž důsledku na svém území hostí množství uprchlíků. ČR je tedy solidární a podporuje humanitární přístup k uprchlíkům,“ píše se ve vládním usnesení podpořeném Babišem.
 
Premiér Andrej Babiš podporuje politické neziskovky, které podporují nelegální imigranty. Premiér totiž v odpovědi na interpelaci Tomia Okamury vyjádřil podporu Organizaci pro pomoc uprchlíkům, která via facti podporuje nelegální imigranty, a vyjádřil obecně podporu neziskovkám, které podporují imigranty.
 
Organizace pro pomoc uprchlíkům (OPU) totiž žaluje policii kvůli tomu, že přemístila imigranty do zařízení pro dospělé. OPU se snaží dokázat, že migranti jsou nezletilí, přitom testy kostí prokázaly, že jsou zletilí! Tohle podporuje pan premiér Babiš? Aby stát platil organizace, které pomáhají podle všeho nelegálním zletilým imigrantům proti policii a našemu státu? Hnutí SPD prosazuje, aby politické neziskovky podporující imigraci nebyly financovány z veřejných peněz.   
 
„Organizace dlouhodobě prokazuje, že má v rámci cizinecké a uprchlické problematiky své místo,“ napsal o Organizaci pro pomoc uprchlíkům premiér Babiš v odpovědi na Okamurovu interpelaci. 
 
„Hlavní činností Organizace pro pomoc uprchlíkům, na níž se dotazujete, tvoří aktivity podporující integraci cizinců na našem území, které jsou v souladu s schválenou státní integrační politikou… velký potenciál v realizaci integrace cizinců mají nestátní neziskové organizace…Organizace přispívá k plnění úkolů stanovených Koncepcí, neboť např. pořádá vzdělávací akce zaměřené na českou veřejnost, bojuje proti xenofobii…,“ uvádí Babiš v odpovědi.
 
Organizace pro pomoc uprchlíkům  dostala mezi lety 2003 – 2014 z veřejných peněz 145,6 milionů korun! V roce 2014 přes tři miliony, v roce 2018 dva miliony.

Takže vidíme, že premiér Andrej Babiš sice tvrdí, že bojuje proti diktátu Bruselu, migraci a ekofanatikům, přitom dělá pravý opak a prosazuje stejné věci jako piráti a demoblok.",NA,NA,NA,2021-07-12,NA,CZK,Svoboda a přímá demokracie - SPD,179497582061065,Tomio Okamura - SPD,200,299,133504468898459,3000,3999,NA,NA,https://www.facebook.com/ads/archive/render_ad/?id=133504468898459&access_token={access_token}
2021-07-12,"Je to poznat už i z dálky: přicházíme o lesy. 🌲🌳 Na vině je sucho, kůrovec, přemnožená zvěř… ale i sám velký správce. Stát. Chybí mu jasná vize, neplní lesnickou politiku, hospodaření je tristní.

Odmítáme se podílet na tom, aby se nám české lesy skácely před očima:

✓ Výrazně jsme omezili možnosti privatizace státních lesů, o níž je dlouho slyšet v kuloárech.

✓ Zasadili jsme se o změny usnadňující přestavbu lesů a zvýšení biodiverzity.

✓ Prosazovali jsme klíčovou změnu mysliveckého zákona.

✓ Dotlačili jsme Ministerstvo zemědělství k tomu, aby přestalo lhát o kůrovcové kalamitě a začalo ji řešit.

V ochraně českých lesů hodláme pokračovat. Lesnicko-dřevařský sektor je nutné podporovat a rozvíjet jako jeden funkční celek. Státní správa i lesnická politika musí pomáhat vlastníkům, aby měli důvod hospodařit udržitelně. Chce to systémovou změnu.

Všechno jsme to promysleli. Podrobný plán najdete na https://www.piratiastarostove.cz/program/udrzitelne-hospodareni-v-lesich/",NA,NA,NA,2021-07-12,NA,CZK,Česká pirátská strana,109323929038,Česká pirátská strana,200,299,313708360449805,3000,3999,500001,1000000,https://www.facebook.com/ads/archive/render_ad/?id=313708360449805&access_token={access_token}
2021-07-12,"Je to poznat už i z dálky: přicházíme o lesy. 🌲🌳 Na vině je sucho, kůrovec, přemnožená zvěř… ale i sám velký správce. Stát. Chybí mu jasná vize, neplní lesnickou politiku, hospodaření je tristní.

Odmítáme se podílet na tom, aby se nám české lesy skácely před očima:

✓ Výrazně jsme omezili možnosti privatizace státních lesů, o níž je dlouho slyšet v kuloárech.

✓ Zasadili jsme se o změny usnadňující přestavbu lesů a zvýšení biodiverzity.

✓ Prosazovali jsme klíčovou změnu mysliveckého zákona.

✓ Dotlačili jsme Ministerstvo zemědělství k tomu, aby přestalo lhát o kůrovcové kalamitě a začalo ji řešit.

V ochraně českých lesů hodláme pokračovat. Lesnicko-dřevařský sektor je nutné podporovat a rozvíjet jako jeden funkční celek. Státní správa i lesnická politika musí pomáhat vlastníkům, aby měli důvod hospodařit udržitelně. Chce to systémovou změnu.

Všechno jsme to promysleli. Podrobný plán najdete na https://www.piratiastarostove.cz/program/udrzitelne-hospodareni-v-lesich/",NA,NA,NA,2021-07-12,NA,CZK,Česká pirátská strana,109323929038,Česká pirátská strana,0,99,537140024386812,0,999,1000001,NA,https://www.facebook.com/ads/archive/render_ad/?id=537140024386812&access_token={access_token}
2021-07-12,"Je to poznat už i z dálky: přicházíme o lesy. 🌲🌳 Na vině je sucho, kůrovec, přemnožená zvěř… ale i sám velký správce. Stát. Chybí mu jasná vize, neplní lesnickou politiku, hospodaření je tristní.

Odmítáme se podílet na tom, aby se nám české lesy skácely před očima:

✓ Výrazně jsme omezili možnosti privatizace státních lesů, o níž je dlouho slyšet v kuloárech.

✓ Zasadili jsme se o změny usnadňující přestavbu lesů a zvýšení biodiverzity.

✓ Prosazovali jsme klíčovou změnu mysliveckého zákona.

✓ Dotlačili jsme Ministerstvo zemědělství k tomu, aby přestalo lhát o kůrovcové kalamitě a začalo ji řešit.

V ochraně českých lesů hodláme pokračovat. Lesnicko-dřevařský sektor je nutné podporovat a rozvíjet jako jeden funkční celek. Státní správa i lesnická politika musí pomáhat vlastníkům, aby měli důvod hospodařit udržitelně. Chce to systémovou změnu.

Všechno jsme to promysleli. Podrobný plán najdete na https://www.piratiastarostove.cz/program/udrzitelne-hospodareni-v-lesich/",NA,NA,NA,2021-07-12,NA,CZK,Česká pirátská strana,109323929038,Česká pirátská strana,0,99,789699308395407,0,999,1000001,NA,https://www.facebook.com/ads/archive/render_ad/?id=789699308395407&access_token={access_token}
2021-07-12,"Je to poznat už i z dálky: přicházíme o lesy. 🌲🌳 Na vině je sucho, kůrovec, přemnožená zvěř… ale i sám velký správce. Stát. Chybí mu jasná vize, neplní lesnickou politiku, hospodaření je tristní.

Odmítáme se podílet na tom, aby se nám české lesy skácely před očima:

✓ Výrazně jsme omezili možnosti privatizace státních lesů, o níž je dlouho slyšet v kuloárech.

✓ Zasadili jsme se o změny usnadňující přestavbu lesů a zvýšení biodiverzity.

✓ Prosazovali jsme klíčovou změnu mysliveckého zákona.

✓ Dotlačili jsme Ministerstvo zemědělství k tomu, aby přestalo lhát o kůrovcové kalamitě a začalo ji řešit.

V ochraně českých lesů hodláme pokračovat. Lesnicko-dřevařský sektor je nutné podporovat a rozvíjet jako jeden funkční celek. Státní správa i lesnická politika musí pomáhat vlastníkům, aby měli důvod hospodařit udržitelně. Chce to systémovou změnu.

Všechno jsme to promysleli. Podrobný plán najdete na https://www.piratiastarostove.cz/program/udrzitelne-hospodareni-v-lesich/",NA,NA,NA,2021-07-12,NA,CZK,Česká pirátská strana,109323929038,Česká pirátská strana,0,99,927372927808960,0,999,100001,500000,https://www.facebook.com/ads/archive/render_ad/?id=927372927808960&access_token={access_token}
