adlib_id,female_13-17,female_18-24,female_25-34,female_35-44,female_45-54,female_55-64,female_65+,male_13-17,male_18-24,male_25-34,male_35-44,male_45-54,male_55-64,male_65+,unknown_13-17,unknown_18-24,unknown_25-34,unknown_35-44,unknown_45-54,unknown_55-64,unknown_65+,unknown_Unknown
2974071749501283,,,,,,,,,,0.889,0.111,,,,,,,,,,,
1330135310761100,,,0.115,0.023,,,,,,0.74,0.118,,,,,,0.002,0.001,,,,
594062375123215,,,0.854,0.146,,,,,,,,,,,,,,,,,,
142789538045197,,,,0.058,0.108,0.082,,,,,0.275,0.314,0.157,,,,,0.002,0.002,0.001,,
7019433934748471,,,,,,,,0,,0.961,0.039,,,,,,,,,,,
312791470313591,,,0.957,0.043,,,,,,,,,,,,,,,,,,
1198782423862396,,,0.274,0.016,,,,,,0.675,0.032,,,,,,0.004,0,,,,
1655435161474694,,,,0.214,0.126,0.033,,,,,0.415,0.176,0.03,,,,,0.003,0.001,0,,
256708436406811,,,0.941,0.059,,,,,,,,,,,,,,,,,,
643422123315758,,,,,,,,,,0.947,0.053,,,,,,,,,,,
911972216383800,,,0.299,0.022,,,,,,0.634,0.042,,,,,,0.003,0,,,,
671868110464036,,,,0.234,0.168,0.055,,,,,0.34,0.166,0.034,,,,,0.002,0.001,0,,
311331067159554,,,0.299,0.025,,,,,,0.627,0.046,,,,,,0.003,0,,,,
575725317067814,,,,0.224,0.163,0.052,,,,,0.354,0.17,0.035,,,,,0.002,0.001,0,,
1544256572602510,,,0.947,0.053,,,,,,,,,,,,,,,,,,
236697268453530,,,,,,,,,,0.942,0.058,,,,,,,,,,,
259065406175494,,,,0.046,0.134,0.152,,,,,0.287,0.254,0.124,,,,,0.004,0.001,,,
394121355529796,,,,,,,,,,0.917,0.083,,,,,,,,,,,
339345117993064,,,0.876,0.124,,,,,,,,,,,,,,,,,,
253794356606216,,,0.068,0.011,,,,,,0.833,0.084,,,,,,0.004,0.001,,,,
436612094751333,,,,,,,,0,,0.952,0.048,,,,,,,,,,,
399121245200824,,,,0.206,0.164,0.065,,,,,0.32,0.195,0.047,,,,,0.002,0.001,0,,
474769343780359,0,,0.967,0.033,,,,,,,,,,,,,,,,,,
1211913552642241,,,0.368,0.021,,,,,,0.569,0.038,,,,,,0.003,0,,,,
1459330707771551,,,0.858,0.142,,,,,,,,,,,,,,,,,,
629255648077094,,,,0.043,0.136,0.143,,,,,0.239,0.29,0.146,,,,,0.002,0.001,0.001,,
2771970076435136,,,0.11,0.023,,,,,,0.733,0.131,,,,,,0.002,0.001,,,,
248470923927650,,,,,,,,,,0.894,0.106,,,,,,,,,,,
947353295864753,,,,0.234,0.179,0.058,,,,,0.326,0.168,0.033,,,,,0.002,0.001,0,,
667865027518660,,,,,,,,,,0.939,0.061,,,,,,,,,,,
1048661479255483,0,,0.942,0.058,,,,,,,,,,,,,,,,,,
4270508583047351,,,0.305,0.025,,,,,,0.618,0.049,,,,,,0.003,0,,,,
614144186439674,,0.019,0.052,0.061,0.037,0.017,0.012,,0.153,0.316,0.205,0.074,0.022,0.026,,0,0.001,0.002,0,0.001,0,
414268933563664,,0.021,0.024,0.043,0.041,0.03,0.031,,0.163,0.201,0.193,0.122,0.055,0.069,,0,0.001,0.003,0.001,0,0.002,
648998936534156,,0.022,0.027,0.041,0.035,0.029,0.027,,0.158,0.215,0.208,0.115,0.052,0.063,,0.001,0.002,0.003,0.001,0,0.002,
696807211710112,,0.02,0.058,0.072,0.047,0.019,0.015,,0.133,0.295,0.205,0.08,0.024,0.026,,0,0.001,0.002,0.001,0,0,
197337445880108,,,0.876,0.124,,,,,,,,,,,,,,,,,,
2671969796437332,,,0.018,0.004,,,,,,0.859,0.116,,,,,,0.002,0.001,,,,
294180812387984,,,,,,,,,,0.903,0.097,,,,,,,,,,,
563701344923810,,,,0.011,0.028,0.029,,,,,0.416,0.369,0.142,,,,,0.002,0.001,0.001,,
370589098074800,,,0.218,0.019,,,,,,0.699,0.061,,,,,,0.003,0,,,,
1499320633761883,,,,0.179,0.16,0.05,,,,,0.363,0.207,0.039,,,,,0.002,0.001,0,,
340396274522141,,,0.929,0.071,,,,,,,,,,,,,,,,,,
404953224495641,,,,,,,,,,0.926,0.074,,,,,,,,,,,
215143710704065,,,,0.286,0.216,0.065,,,,,0.267,0.134,0.029,,,,,0.002,0.001,0,,
580575979822461,,,0.953,0.047,,,,,,,,,,,,,,,,,,
676499323333194,,,0.423,0.029,,,,,,0.51,0.036,,,,,,0.003,0,,,,
382893380246761,,,0.072,0.008,,,,,,0.828,0.087,,,,,,0.005,0.001,,,,
464289588355988,,,0.909,0.091,,,,,,,,,,,,,,,,,,
577614180172107,,,,0.056,0.166,0.119,,,,,0.319,0.236,0.096,,,,,0.005,0.002,0,,
624885892204195,,,,,,,,,,0.945,0.055,,,,,,,,,,,
4457678947652526,,,,,,,,,,0.937,0.063,,,,,,,,,,,
4486650558091976,,,0.897,0.103,,,,,,,,,,,,,,,,,,
403963388073190,,,,0.009,0.018,0.011,,,,,0.556,0.326,0.075,,,,,0.005,0.001,,,
3084139228578253,,,0.005,0,,,,,,0.909,0.083,,,,,,0.002,0.001,,,,
1535583363501180,,,,,,,,,,0.935,0.065,,,,,,,,,,,
1053888398698667,,,,,,,,,,0.949,0.051,,,,,,,,,,,
