ad_creation_time,ad_creative_body,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_title,ad_delivery_start_time,ad_delivery_stop_time,currency,funding_entity,page_id,page_name,spend_lower,spend_upper,adlib_id,impressions_lower,impressions_upper,potential_reach_lower,potential_reach_upper,ad_snapshot_url,female_13-17,female_18-24,female_25-34,female_35-44,female_45-54,female_55-64,female_65+,male_13-17,male_18-24,male_25-34,male_35-44,male_45-54,male_55-64,male_65+,unknown_13-17,unknown_18-24,unknown_25-34,unknown_35-44,unknown_45-54,unknown_55-64,unknown_65+,unknown_Unknown,Central Bohemian Region,Hradec Králové Region,Karlovy Vary Region,Liberec Region,Moravian-Silesian Region,Olomouc Region,Pardubice Region,Plzeň Region,Prague,South Bohemian Region,South Moravian Region,Unknown,Ústí nad Labem Region,Vysočina Region,Zlín Region
2021-07-13,"Smekám před vynalézavostí a vizionářstvím lidí, jako je Josef Průša a jeho tým z Prusa Research 3D printers. 👍

Návštěva jejich ""farmy"" na 3D tiskárny v Holešovicích je skoro jako návštěva budoucnosti. Nekonečné řady tiskáren tu totiž tisknou další nové tiskárny, které pak míří k zákazníkům do celého světa (jako ajťák a Pirát pak navíc velmi oceňuji, že tvoří open-source). 

Není divu, že se letos stal Josef Průša českým podnikatelem roku (předtím vyhrál krajské kolo v Praze). Přitom na začátku tohohle českého úspěchu nestáli žádní velcí investoři nebo velký kapitál. První součástky na tiskárny balil Josef Průša ještě ve sklepě do krabic od pizzy. Úspěch se tak zrodil postupně z vytvalosti a z důvěry v originální myšlenku. 

Další inspirací je, nakolik si u Průši zakládají na důvěře v šikovné lidi. Protože jak říká sám Josef Průša: ""Moje firma bude jenom tak dobrá, jak jsou dobří moji lidé."" To mi přijde jako skvělé motto, které lze vztáhnout vlastně na všechno. V naší společnosti zkrátka potřebujeme dávat šanci podobným šikovným lidem a srdcařům. Má to smysl a nese to ovoce.

A o čem jsme vlastně v Průša Research společně jednali? Bavili jsme se o jejich zájmu přemístit výrobu do větších prostor, protože ty současné už jim nestačí. Moc se mi líbí jejich záměr, který by chtěli v nových prostorách uskutečnit. Nechtějí uzavřené ghetto, ale místo s nabídkou komunitních služeb, s přednáškovými sály nebo s otevřenou dílnou Průša lab. Tam by si každý mohl zkoušet tiskárny a další nářadí dle libosti.

Už při návštěvě Průšova sídla na současné adrese jsem se ale přesvědčil, že tady není nic nemožné. Kromě technologií tady produkují například i včelí med nebo chovají alpaky a ovce. Prostě paráda. 

Moc podobným lidem a projektům fandím. Držím palce! 🙂",NA,NA,NA,2021-07-13,NA,CZK,Česká pirátská strana - Praha,302134090396266,Zdeněk Hřib - primátor Prahy,100,199,523233635392830,2000,2999,NA,NA,https://www.facebook.com/ads/archive/render_ad/?id=523233635392830&access_token={access_token},NA,0.008893,0.027568,0.023566,0.009337,0.007559,0.003557,NA,0.152068,0.431747,0.215651,0.060027,0.015118,0.033348,NA,0.001334,0.004446,0.003112,0.001334,4.45e-4,8.89e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-13,"Smekám před vynalézavostí a vizionářstvím lidí, jako je Josef Průša a jeho tým z Prusa Research 3D printers. 👍

Návštěva jejich ""farmy"" na 3D tiskárny v Holešovicích je skoro jako návštěva budoucnosti. Nekonečné řady tiskáren tu totiž tisknou další nové tiskárny, které pak míří k zákazníkům do celého světa (jako ajťák a Pirát pak navíc velmi oceňuji, že tvoří open-source). 

Není divu, že se letos stal Josef Průša českým podnikatelem roku (předtím vyhrál krajské kolo v Praze). Přitom na začátku tohohle českého úspěchu nestáli žádní velcí investoři nebo velký kapitál. První součástky na tiskárny balil Josef Průša ještě ve sklepě do krabic od pizzy. Úspěch se tak zrodil postupně z vytvalosti a z důvěry v originální myšlenku. 

Další inspirací je, nakolik si u Průši zakládají na důvěře v šikovné lidi. Protože jak říká sám Josef Průša: ""Moje firma bude jenom tak dobrá, jak jsou dobří moji lidé."" To mi přijde jako skvělé motto, které lze vztáhnout vlastně na všechno. V naší společnosti zkrátka potřebujeme dávat šanci podobným šikovným lidem a srdcařům. Má to smysl a nese to ovoce.

A o čem jsme vlastně v Průša Research společně jednali? Bavili jsme se o jejich zájmu přemístit výrobu do větších prostor, protože ty současné už jim nestačí. Moc se mi líbí jejich záměr, který by chtěli v nových prostorách uskutečnit. Nechtějí uzavřené ghetto, ale místo s nabídkou komunitních služeb, s přednáškovými sály nebo s otevřenou dílnou Průša lab. Tam by si každý mohl zkoušet tiskárny a další nářadí dle libosti.

Už při návštěvě Průšova sídla na současné adrese jsem se ale přesvědčil, že tady není nic nemožné. Kromě technologií tady produkují například i včelí med nebo chovají alpaky a ovce. Prostě paráda. 

Moc podobným lidem a projektům fandím. Držím palce! 🙂",NA,NA,NA,2021-07-13,NA,CZK,Česká pirátská strana - Praha,302134090396266,Zdeněk Hřib - primátor Prahy,200,299,870788680459433,2000,2999,NA,NA,https://www.facebook.com/ads/archive/render_ad/?id=870788680459433&access_token={access_token},NA,0.033223,0.148078,0.056004,NA,NA,NA,NA,0.103465,0.503085,0.148552,NA,NA,NA,NA,9.49e-4,0.004271,0.002373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-12,"Krátké a výstižné. :-) Co si o tom myslíte? CZEXIT! 👍

Česká republika na 1. místě! 👍❤🇨🇿🇨🇿🇨🇿",NA,NA,NA,2021-07-12,NA,CZK,Svoboda a přímá demokracie - SPD,179497582061065,Tomio Okamura - SPD,100,199,407615397229860,4000,4999,NA,NA,https://www.facebook.com/ads/archive/render_ad/?id=407615397229860&access_token={access_token},0.00148,0.005623,0.015685,0.046759,0.104469,0.147677,0.123705,0.002959,0.010358,0.039953,0.12992,0.188517,0.111867,0.068659,NA,NA,2.96e-4,NA,8.88e-4,2.96e-4,8.88e-4,NA,0.098633,0.059715,0.043078,0.051099,0.138443,0.065657,0.047534,0.063874,0.080808,0.042484,0.108437,NA,0.115567,0.031788,0.052882
2021-07-12,"I díky hlasům SPD byla ve Sněmovně schválena novela zákona o hmotné nouzi, která odebírá část sociálních dávek nepřizpůsobivým. Cílem této novely je, aby nepřizpůsobiví občané, kteří neplatí pokuty za vybrané přestupky a zároveň pobírají sociální dávky, přišli o část doplatku na bydlení i o příspěvek na živobytí. Úřady jim z těchto dávek nyní neuhrazené pokuty mají strhávat. Stejně by postupovaly v případě nepřihlášení dítěte k zápisu k povinné školní docházce a v případě zanedbávání péče o povinnou školní docházku žáka. Úřady práce by po oznámení musely dávky snížit. Částky, které by lidem nevyplatily, by putovaly do rozpočtů příslušných obcí. Proti této novele hlasovali poslanci ČSSD, Pirátů a STAN. Za SPD říkáme, že pracovat se musí vyplatit více než nepracovat, přestože pracovat můžete. Nesmí se vyplácet být na sociálních dávkách a k tomu ještě porušovat zákony. SPD předkládá ještě svůj vlastní mnohem komplexnější návrh. Náš návrh ale neustále blokují Piráti, KDU-ČSL a ČSSD, čímž tyto strany fakticky podporují nepřizpůsobivé. Pro SPD je slušný a pracující občan na 1. místě!

 Znovu podpoříme novelu stavebního zákona, kterou odmítl Senát, protože chceme zjednodušit a zrychlit stavební řízení a umožnit tak lidem, aby si snáze pořídili vlastní bydlení. Na stávající schůzi Sněmovny jsou i zákony vrácené Senátem. Jedním z nich je i novela stavebního zákona. Cílem novely zákona je zefektivnění právní úpravy procesu povolovacího řízení ke stavbám. Je zcela jasné, že krom toho, že špatné zákony stavby zbytečně prodlužují, tak je také prodražují. Poslanci za SPD proto podpoří novelu stavebního zákon, který Senát zamítl, protože jsme pro zrychlení a zlevnění stavebního řízení, kde je Česká republika na ostudném celkovém 167. místě ve světě, a patří tak mezi nejhorší státy světa v délce stavebního řízení. Nejde však pouze o to zjednodušit stavební řízení u strategických projektů, ale je potřeba zjednodušit stavební předpisy pro obyčejné občany, kteří staví rodinný dům.

Hnutí SPD se připojuje k Deklaraci o budoucnosti Evropy Orbána, Salviniho, Kaczynského či Le Penové. Společně odmítáme diktát Bruselu. Deklaraci o budoucnosti Evropy minulý týden podepsalo 16 hlavních evropských vlasteneckých politických stran ze 14 zemí (Orbán, Salvini, Le Penová, Kaczynski atd.), které vyjádřily nespokojenost se směřováním Evropské unie. Je potvrzeno, že předseda hnutí SPD Tomio Okamura podepíše tuto společnou deklaraci na společném jednání v září. Společně požadujeme návrat kompetencí národním státům. Hnutí SPD je členem evropské vlastenecké frakce Identita a demokracie (ID) v Evropském parlamentu společně s italskou Ligou Mattea Salviniho, Národním sdružením Marine Le Penové a dalšími hlavními vlasteneckými stranami Evropy.

Hnutí SPD schválilo volební program „Naše vlast, naše rodiny, náš bezpečný domov"". Program bude od čtvrtka tento týden k vidění na www.spd.cz Dne 11. července 2021 se konalo v Praze politické grémium hnutí SPD, které přijalo hlasy více než 200 zástupců členů ze všech regionů České republiky deklaratorní usnesení, ve kterém vyslovilo souhlas s předsednictvem představeným návrhem programu pro sněmovní volby 2021 s názvem „Naše vlast, naše rodiny, náš bezpečný domov"". Zároveň byla tímto usnesením vyzvána členská základna a orgány hnutí k maximálnímu nasazení ve všech fázích kampaně, která povede k maximálnímu úspěchu hnutí SPD v nadcházejících sněmovních volbách 2021. Pro Vás o podporu. Děkuju",NA,NA,Tomio Okamura: Dnešní aktuality 12.7.2021,2021-07-12,NA,CZK,Svoboda a přímá demokracie - SPD,179497582061065,Tomio Okamura - SPD,800,899,1085176392231723,20000,24999,1000001,NA,https://www.facebook.com/ads/archive/render_ad/?id=1085176392231723&access_token={access_token},NA,0.00317,0.011401,0.037617,0.097549,0.150287,0.122668,NA,0.012316,0.052372,0.122607,0.165224,0.126814,0.096513,NA,NA,4.27e-4,2.44e-4,1.22e-4,4.27e-4,2.44e-4,NA,0.091231,0.053177,0.04653,0.055556,0.138371,0.05147,0.047872,0.049457,0.099829,0.04403,0.098488,NA,0.141481,0.036346,0.046164
2021-07-12,Dovolím si s panem Hamáčkem nesouhlasit. Hnutí SPD odmítá platit dluhy států EU. Hnutí SPD odmítá euro!,NA,NA,NA,2021-07-12,NA,CZK,Svoboda a přímá demokracie - SPD,179497582061065,Tomio Okamura - SPD,200,299,515204173136007,5000,5999,1000001,NA,https://www.facebook.com/ads/archive/render_ad/?id=515204173136007&access_token={access_token},0.004263,0.007105,0.008729,0.024767,0.065367,0.116931,0.131953,0.013195,0.025782,0.041413,0.097848,0.170118,0.151644,0.137231,NA,4.06e-4,4.06e-4,0.001015,NA,0.001218,6.09e-4,NA,0.100141,0.053503,0.038966,0.050474,0.122148,0.061579,0.050878,0.054916,0.119725,0.049465,0.101757,NA,0.109832,0.03614,0.050474
2021-07-12,"Co si o tom myslíte? :-)

Stop diktatuře Bruselu, stop diktatuře sluníčkářů!",NA,NA,NA,2021-07-12,NA,CZK,Svoboda a přímá demokracie - SPD,179497582061065,Tomio Okamura - SPD,200,299,1665544630318321,3000,3999,NA,NA,https://www.facebook.com/ads/archive/render_ad/?id=1665544630318321&access_token={access_token},0.004001,0.007002,0.007669,0.032011,0.064688,0.114038,0.120373,0.02034,0.034011,0.048016,0.124708,0.175392,0.134712,0.109703,NA,3.33e-4,3.33e-4,0.001334,3.33e-4,0.001,NA,NA,0.096545,0.055217,0.038279,0.055217,0.131436,0.059621,0.04336,0.063008,0.10061,0.050136,0.104336,NA,0.112466,0.036585,0.053184
2021-07-12,"Zadlužení České republiky hrozivě roste. Kdyby radši vláda přestala vyhazovat peníze na nepřizpůsobivé, politické neziskovky, solární barony a předražené zakázky… Jak informovaly Novinky.cz, ČR dosud patřila mezi nejméně zadlužené země Evropské unie. V posledních letech byl dluh republiky v poměru k hrubému domácímu produktu čtvrtý nejnižší z celé sedmadvacítky. Dle výhledu Mezinárodního měnového fondu se  však Česko během příštích tří až čtyř let jistě posune mimo první desítku. Veřejný dluh ČR, tedy dluh státu, municipalit a zdravotních pojišťoven, ke konci roku přesáhne podle všech projekcí 2,5 bilionu korun. Na konci loňska činil 2,15 bilionu. Samotný státní dluh (tj. bez krajů, obcí atd.) přitom dosahoval 2,05 bilionu Kč.

Loni státu vykázal deficit 367,4 miliardy Kč, pro letos je schválen schodek 500 miliard. Letos v lednu byl rozpočet v minusu 31,5 miliardy, v květnu už deficit dosáhl 255 miliard. Už pro letošek MMF predikuje meziroční snížení deficitu u 21 zemí z unijní sedmadvacítky. „Česko tak patří mezi pouhých šest zemí, u nichž je pro rok 2021 předpokládáno další prohloubení deficitu veřejných financí. V případě ČR je navíc toto prohloubení ve výši 1,8 procentního bodu, druhé nejvyšší po Estonsku,“ uvedla pro Právo předsedkyně Národní rozpočtové rady Eva Zamrazilová.

Pro rok 2022 již MMF pro všechny země EU kromě Česka a Estonska očekává nižší deficit veřejných financí ve srovnání s rokem 2020. Výhled salda českých veřejných financí pro rok 2023 ve výši –5,6 procenta HDP představuje druhý nejvyšší deficit v rámci EU 27 po Rumunsku (s hodnotou –6,2 procenta HDP). Podle ministerstva financí by měl veřejný dluh České republiky v roce 2024 odpovídat hrozivým 54,6 % HDP v případě scénáře autonomního vývoje veřejných financí, kdyby nebyly přijímány a prosazovány úspory. 

Tato vláda stále neprovádí škrty ve zbytných výdajích států, na které hnutí SPD upozorňuje dlouhodobě. Jedná se zejména o snížení byrokracie na ministerstvech a krajích, zrušení předražených armádních zakázek, omezení plateb solárním baronům a politickým neziskovkám. Je potřeba zdanit zisky a dividendy nadnárodních koncernů, které jsou vyváděny do zahraničí. Je potřeba také zrušit výplatu neadresných sociálních dávek těm, kteří nikdy nepracovali, přestože pracovat mohou. Na druhou stranu Vláda ANO a ČSSD neprovádí žádnou pro rodinnou politiku a masivní podporu výstavby bytů pro mladé rodiny. To je pro hnutí SPD zcela nepřijatelné.",NA,NA,NA,2021-07-12,NA,CZK,Svoboda a přímá demokracie - SPD,179497582061065,Tomio Okamura - SPD,200,299,883904828884517,5000,5999,1000001,NA,https://www.facebook.com/ads/archive/render_ad/?id=883904828884517&access_token={access_token},NA,0.005584,0.012564,0.029781,0.052815,0.086785,0.076547,NA,0.087017,0.110051,0.150302,0.182643,0.110749,0.092834,NA,NA,2.33e-4,4.65e-4,2.33e-4,0.001163,2.33e-4,NA,0.095865,0.053336,0.042293,0.053806,0.132049,0.06015,0.045818,0.055451,0.106908,0.051457,0.107143,NA,0.108788,0.037124,0.049812
2021-07-12,"Průběh volební kampaně charakterizuje snaha premiéra Babiše ukázat se jako důsledný obhájce zájmů České republiky proti EU. Skutečnost je jiná. Babiš není český Orbán. Jinak mluví doma a jinak v Bruselu. Europoslanci hnutí ANO dlouhodobě hlasují v Evropském parlamentu za zájmy EU, nikoli pro ČR. 

Stejně naivní je politická představa hnutí Přísaha, že nelze odejít z EU, ale lze v rámci EU posilovat pozici České republiky. Ne, pokračující členství v EU bude nutně znamenat další postupné oslabování státní suverenity České republiky, přijetí eura a migrační politiky EU. 

Součástí dezinformační předvolební kampaně proti vlastencům jsou i probruselská média, například Seznamzprávy, Respekt, Deník N, některé pořady ČT či Reflex, který byl již dokonce letos i pravomocně soudně usvědčen ze lží vůči předsedovi SPD Tomio Okamurovi. 

Hnutí SPD, jako jediný parlamentní politický subjekt, tvrdě hájí zájmy České republiky a prosazuje referendum o vystoupení z EU, aby sami naši občané rozhodli o své budoucnosti ve své zemi.

Premiér Andrej Babiš tvrdí, že bojuje proti diktátu Bruselu, migraci a ekofanatikům, přitom dělá pravý opak a prosazuje stejné věci jako piráti a demoblok. Premiér se ve svém projevu ve sněmovně vymezil silně proti pirátům. Krásná slova, ale skutek utek. Svými činy premiér popírá tato slova!‼️

„Piráti jsou novou českou Stranou zelených. V Evropském parlamentu jsou v jejich frakci a podporují jejich nápady – buď bezmyšlenkovitě a s otevřenou náručí přijímají migranty, nebo navrhují taková zelená opatření, která zlikvidují náš průmysl. Jediný důvod, proč má tato partaj momentálně takovou podporu, je, že se jmenují Piráti,“ rozjel se Babiš.    

„Fakt tady ale lidé chtějí další tunel se solárními barony nebo ochromení naší energetiky zeleným fanatismem? My tady teď budeme spíš potřebovat vládu, která nás vyvede z ekonomických problémů a zabrání ilegální migraci. Ta teď opět začíná být velkým problémem na jižních hranicích EU. Do Španělska přišlo minimálně osm tisíc migrantů… Nechci tady nějaký fanatický a multikulturní Pirátostán.“

Babiš při hlasování sněmovny o nedůvěře jeho vládě mimo jiné řekl, že je „svrchovaným premiérem této země a nikdo ze zahraničí nám tady do toho nebude kecat“. Opřel se tím tak do spojenectví Pirátů a dalších opozičních stran s Bruselem. Premiér také řekl, že odmítá sdílenou ekonomiku: „Nechceme! My nechceme sdílet naše auta! My nechceme sdílet naše byty! My nechceme sdílet naši zemi! My nechceme, aby naši zemi řídil Evropský parlament.“

Krásná slova, ale skutek utek. Svými činy premiér popírá tato slova. Jaká je ale skutečnost? Podle Babiše příležitostná česká kritika evropského integračního procesu neznamená, že by země celkově stála proti užší integraci. To znamená, že premiér Babiš podporuje další předávání pravomocí do Bruselu a že podporuje další užší centralizaci. Babiš podporuje i přijetí eura ve vhodný čas. To hnutí SPD jasně odmítá! Hnutí SPD bojuje za naši suverenitu a za vystoupení z EU!
 
Babiš podpořil unijní Zelený úděl (Green Deal), který bude stát naši ekonomiku biliony korun a ekonomiky států EU celkem biliony eur. Stejně tak kývl na eurodluhopisy (750 miliard eur), které zadluží další generace, a na evropské daně, které bude Evropská unie vybírat.

Babišova vláda plánuje za boj proti CO2 vyhodit do vzduchu obrovské peníze. Ministr průmyslu Karel Havlíček řekl, že mezi roky 2010 až 2030 bude vyplacen na podporu obnovitelných zdrojů energie až bilion korun, z toho 570 až 580 miliard korun solárním elektrárnám. Nové tuzemské obnovitelné zdroje budou mít v nejbližších sedmi letech z evropských fondů typu Modernizačního fondu a Plánu obnovy k dispozici kolem 100 miliard korun.
 
Celkové náklady na takzvané podporované zdroje energie (POZE) v posledních letech každoročně činí přes 40 miliard korun. Předloni to bylo 45,4 miliardy Kč, solární elektrárny obdržely 29,1 miliardy korun. Od roku 2006 bylo na podporu POZE v Česku vyplaceno přes 385 miliard korun, informovala ČTK.

A pokud jde o migraci, je to podobné. Babiš například ještě jako ministr financí navrhoval, že by uprchlíci mohli v ČR zaplnit místa, na kterých nechtějí pracovat Češi. „Máme 18 tisíc volných míst pro pomocné dělníky. Pokud naši občané nechtějí obsazovat tyto pozice, tak ano, proč ne,“ řekl o možnosti zaměstnávat běžence v Česku Babiš.
 
Babiš již jako premiér podpořil i Marakéšskou deklaraci, v níž „partneři uznávají potřebu povzbuzovat a posilňovat cesty zákonné migrace… mezi Evropou a zeměmi severní, západní a střední Afriky“. Tu jménem ČR odsouhlasil tehdejší ministr vnitra Metnar z ANO.
 
Premiér Babiš podpořil také globální pakt o uprchlících. „ČR nemůže být kritizována za nedostatek solidarity s lidmi, kteří pomoc skutečně potřebují, protože ČR podporuje Globální kompakt OSN o uprchlících, jehož návrh byl dojednán v Ženevě dne 6. 7. 2018...Vyjadřuje i solidaritu se zeměmi nacházejícími se v blízkosti konfliktů, v jejichž důsledku na svém území hostí množství uprchlíků. ČR je tedy solidární a podporuje humanitární přístup k uprchlíkům,“ píše se ve vládním usnesení podpořeném Babišem.
 
Premiér Andrej Babiš podporuje politické neziskovky, které podporují nelegální imigranty. Premiér totiž v odpovědi na interpelaci Tomia Okamury vyjádřil podporu Organizaci pro pomoc uprchlíkům, která via facti podporuje nelegální imigranty, a vyjádřil obecně podporu neziskovkám, které podporují imigranty.
 
Organizace pro pomoc uprchlíkům (OPU) totiž žaluje policii kvůli tomu, že přemístila imigranty do zařízení pro dospělé. OPU se snaží dokázat, že migranti jsou nezletilí, přitom testy kostí prokázaly, že jsou zletilí! Tohle podporuje pan premiér Babiš? Aby stát platil organizace, které pomáhají podle všeho nelegálním zletilým imigrantům proti policii a našemu státu? Hnutí SPD prosazuje, aby politické neziskovky podporující imigraci nebyly financovány z veřejných peněz.   
 
„Organizace dlouhodobě prokazuje, že má v rámci cizinecké a uprchlické problematiky své místo,“ napsal o Organizaci pro pomoc uprchlíkům premiér Babiš v odpovědi na Okamurovu interpelaci. 
 
„Hlavní činností Organizace pro pomoc uprchlíkům, na níž se dotazujete, tvoří aktivity podporující integraci cizinců na našem území, které jsou v souladu s schválenou státní integrační politikou… velký potenciál v realizaci integrace cizinců mají nestátní neziskové organizace…Organizace přispívá k plnění úkolů stanovených Koncepcí, neboť např. pořádá vzdělávací akce zaměřené na českou veřejnost, bojuje proti xenofobii…,“ uvádí Babiš v odpovědi.
 
Organizace pro pomoc uprchlíkům  dostala mezi lety 2003 – 2014 z veřejných peněz 145,6 milionů korun! V roce 2014 přes tři miliony, v roce 2018 dva miliony.

Takže vidíme, že premiér Andrej Babiš sice tvrdí, že bojuje proti diktátu Bruselu, migraci a ekofanatikům, přitom dělá pravý opak a prosazuje stejné věci jako piráti a demoblok.",NA,NA,NA,2021-07-12,NA,CZK,Svoboda a přímá demokracie - SPD,179497582061065,Tomio Okamura - SPD,200,299,133504468898459,5000,5999,NA,NA,https://www.facebook.com/ads/archive/render_ad/?id=133504468898459&access_token={access_token},0.004739,0.01151,0.009704,0.015572,0.03295,0.043331,0.038366,0.058,0.272625,0.192056,0.102686,0.098623,0.058677,0.058903,NA,2.26e-4,9.03e-4,4.51e-4,4.51e-4,2.26e-4,NA,NA,0.104581,0.056536,0.030838,0.044246,0.103911,0.05676,0.052737,0.065251,0.124022,0.054078,0.113073,NA,0.099218,0.047821,0.046927
2021-07-11,"Před chvíli skončila celostátní porada zástupců SPD ze všech krajů ČR ohledně volební kampaně pro klíčové říjnové sněmovní volby. Proběhla ve vynikající pozitivní pracovní atmosféře, všichni jsme plní energie pro práci pro občany a uděláme maximum pro úspěch SPD ve volbách! Moc všem děkuju a rád jsem vás viděl👍🏻",NA,NA,NA,2021-07-11,2021-07-13,CZK,Svoboda a přímá demokracie - SPD,179497582061065,Tomio Okamura - SPD,300,399,564934014660508,5000,5999,1000001,NA,https://www.facebook.com/ads/archive/render_ad/?id=564934014660508&access_token={access_token},NA,0.00724,0.013545,0.03106,0.066791,0.11443300000000001,0.109295,NA,0.074031,0.106259,0.127978,0.142924,0.106492,0.095983,NA,2.34e-4,7.01e-4,7.01e-4,7.01e-4,9.34e-4,7.01e-4,NA,0.087736,0.052595,0.040493,0.049569,0.128462,0.060042,0.043984,0.060507,0.104259,0.054689,0.109379,NA,0.106353,0.039562,0.062369
2021-07-11,"Maďarský premiér Viktor Orbán odmítá, aby fotbalisté museli klečet na podporu takzvaného antirasistického hnutí Black lives matter, které je podle mě ve skutečnosti rasisticky zaměřené proti bělochům. „Na sportovištích to nemá místo. My v Maďarsku klekáme před Bohem, před svou zemí a před láskou, kterou žádáme o ruku. My od našich sportovců v národním dresu nečekáme, aby poklekli, ale aby bojovali, vítězili, a pokud se to nepovede, aby umírali vestoje…Pokud jste hostem v naší zemi, pak musíte chápat její kulturu a neprovokovat hostitele. Politika nemá ve sportu místo,“ řekl Orbán. Jeho slova by se měla tesat do kamene. Co myslíte? :-)

https://www.novinky.cz/zahranicni/clanek/fanousci-buceli-na-iry-za-pokleknuti-orban-s-nimi-souhlasi-40362940",NA,NA,NA,2021-07-11,2021-07-13,CZK,Svoboda a přímá demokracie - SPD,179497582061065,Tomio Okamura - SPD,300,399,246350467007432,8000,8999,1000001,NA,https://www.facebook.com/ads/archive/render_ad/?id=246350467007432&access_token={access_token},0.004028,0.011797,0.011221,0.017983,0.034671,0.044598,0.040282,0.034671,0.141994,0.170047,0.140555,0.149475,0.102719,0.092936,NA,2.88e-4,1.44e-4,5.75e-4,5.75e-4,7.19e-4,7.19e-4,NA,0.104506,0.051821,0.03138,0.046639,0.12509,0.063481,0.048222,0.057147,0.112711,0.048222,0.119188,NA,0.103642,0.038722,0.04923
