adlib_id,Bayern,Bratislava Region,Central Bohemian Region,Dakar Region,Gauteng,Hradec Králové Region,Karlovy Vary Region,Liberec Region,Lower Austria,Lower Silesian Voivodeship,Moravian-Silesian Region,Nitra Region,Olomouc Region,Opole Voivodeship,Pardubice Region,Plzeň Region,Podlaskie Voivodeship,Prague,Sachsen,Silesian Voivodeship,South Bohemian Region,South Moravian Region,Trenčín Region,Trnava Region,Unknown,Upper Austria,Ústí nad Labem Region,Vienna,Vysočina Region,Žilina Region,Zlín Region
324109212859668,,,0.081,,,0.028,0.023,0.03,,,0.081,,0.047,,0.04,0.045,,0.282,,,0.059,0.153,,,,,0.042,,0.042,,0.045
612761556535978,,,0.08,,,0.061,0.024,0.035,,,0.079,,0.054,,0.055,0.083,,0.163,,,0.035,0.165,,,,,0.062,,0.058,,0.046
288642353175276,,,0.106,,,0.071,0.037,0.052,,,0.078,,0.056,,0.032,0.045,,0.208,,,0.056,0.098,,,,,0.083,,0.033,,0.046
318426430113983,,,0.07,,,0.033,0.021,0.027,,,0.074,,0.086,,0.043,0.05,,0.286,,,0.045,0.134,,,,,0.057,,0.031,,0.045
882883549037711,,,0.099,,,0.052,0.039,0.046,,,0.119,,0.06,,0.053,0.06,,0.079,,,0.063,0.119,,,,,0.117,,0.047,,0.049
631912104673192,,,0.102,,,0.052,0.043,0.048,,,0.111,,0.063,,0.046,0.063,,0.09,,,0.057,0.114,,,,,0.127,,0.04,,0.045
1590158394667268,,,0.095,,,0.046,0.025,0.052,,,0.111,,0.067,,0.042,0.048,,0.163,,,0.064,0.124,,,,,0.077,,0.035,,0.05
1007309839828088,,,0.096,,,0.04,0.024,0.04,,,0.104,,0.063,,0.05,0.056,,0.173,,,0.06,0.119,,,,,0.079,,0.043,,0.053
288145779742081,,,0.106,,,0.038,0.013,0.038,,,0.131,,0.075,,0.062,0.044,,0.125,,,0.069,0.144,,,,,0.044,,0.044,,0.069
586658855891573,,,0.097,,,0.016,0.032,0.048,,,0.121,,0.04,,0.008,0.056,,0.21,,,0.04,0.169,,,,,0.056,,0.065,,0.04
619501516058905,,,0.106,,,0.056,0.069,0.025,,,0.094,,0.081,,0.05,0.038,,0.138,,,0.025,0.144,,,,,0.088,,0.038,,0.05
2995674554031831,,,0.059,,,0.044,0.015,0.015,,,0.118,,0.059,,0.037,0.074,,0.243,,,0.037,0.184,,,,,0.044,,0.022,,0.051
326267395595765,,,0.055,,,0.031,0.021,0.034,,,0.118,,0.079,,0.045,0.05,,0.22,,,0.063,0.134,,,,,0.055,,0.037,,0.06
3058592267746129,,,0.062,,,0.046,0.026,0.046,,,0.118,,0.066,,0.033,0.056,,0.24,,,0.076,0.125,,,,,0.056,,0.016,,0.033
429759208678377,,,0.058,,,0.036,0.027,0.045,,,0.116,,0.085,,0.043,0.049,,0.123,,,0.06,0.119,,,,,0.139,,0.054,,0.047
4439377756142321,,,0.091,,,0.038,0.036,0.038,,,0.12,,0.082,,0.043,0.054,,0.111,,,0.05,0.121,,,,,0.132,,0.029,,0.057
301035368554204,,,0.095,,,0.06,0.025,0.04,,,0.088,,0.074,,0.04,0.046,,0.246,,,0.054,0.11,,,,,0.047,,0.034,,0.041
458390598976592,,,0.083,,,0.047,0.013,0.038,,,0.076,,0.056,,0.04,0.044,,0.3,,,0.05,0.129,,,,,0.041,,0.037,,0.047
915117965779099,,,0.104,,,0.056,0.034,0.042,,,0.109,,0.057,,0.05,0.059,,0.109,,,0.056,0.124,,,,,0.107,,0.043,,0.051
295524742436575,,,0.112,,,0.072,0.023,0.036,,,0.1,,0.041,,0.05,0.062,,0.177,,,0.029,0.13,,,,,0.068,,0.059,,0.04
222235529968996,,,0.106,,,0.055,0.038,0.052,,,0.108,,0.056,,0.048,0.056,,0.108,,,0.057,0.11,,,,,0.121,,0.042,,0.044
270737365071760,,,0.115,,,0.07,0.037,0.048,,,0.088,,0.045,,0.045,0.042,,0.166,,,0.046,0.118,,,,,0.095,,0.041,,0.044
1471923723580560,,,0.092,,,0.038,0.023,0.037,,,0.103,,0.055,,0.045,0.053,,0.223,,,0.051,0.121,,,,,0.074,,0.039,,0.047
422239386061259,,,0.103,,,0.04,0.025,0.048,,,0.098,,0.064,,0.042,0.052,,0.197,,,0.064,0.117,,,,,0.072,,0.031,,0.044
581031306314614,,,0.107,,,0.056,0.029,0.05,,,0.081,,0.052,,0.05,0.057,,0.169,,,0.059,0.117,,,,,0.084,,0.038,,0.052
4350995621689964,,,0.096,,,0.054,0.029,0.05,,,0.114,,0.06,,0.047,0.055,,0.155,,,0.056,0.107,,,,,0.094,,0.037,,0.047
477479146983109,,,0.098,,,0.04,0.024,0.045,,,0.097,,0.066,,0.039,0.059,,0.227,,,0.054,0.114,,,,,0.066,,0.033,,0.038
1056817895094123,,,0.096,,,0.042,0.021,0.038,,,0.102,,0.061,,0.044,0.051,,0.243,,,0.046,0.112,,,,,0.065,,0.035,,0.045
448136196724695,,,0.112,,,0.052,0.037,0.047,,,0.103,,0.05,,0.05,0.055,,0.137,,,0.056,0.111,,,,,0.103,,0.039,,0.048
861712507841592,,,0.106,,,0.056,0.025,0.046,,,0.104,,0.05,,0.054,0.06,,0.134,,,0.056,0.122,,,,,0.087,,0.044,,0.054
3112290345715554,,,0.088,,,0.038,0.018,0.045,,,0.098,,0.063,,0.039,0.046,,0.233,,,0.068,0.128,,,,,0.058,,0.031,,0.047
224299366476480,,,0.107,,,0.053,0.032,0.04,,,0.116,,0.059,,0.052,0.056,,0.105,,,0.059,0.118,,,,,0.103,,0.05,,0.051
424664882637942,,,0.114,,,0.051,0.035,0.05,,,0.112,,0.059,,0.045,0.055,,0.111,,,0.057,0.112,,,,,0.11,,0.041,,0.048
313806270574289,,,0.092,,,0.04,0.02,0.038,,,0.1,,0.061,,0.048,0.05,,0.219,,,0.053,0.126,,,,,0.062,,0.04,,0.05
297226515605430,,,0.079,,,0.041,0.024,0.033,,,0.078,,0.056,,0.035,0.045,,0.334,,,0.042,0.12,,,,,0.046,,0.034,,0.032
286775093454931,,,0.103,,,0.051,0.019,0.037,,,0.09,,0.049,,0.047,0.062,,0.209,,,0.055,0.128,,,,,0.059,,0.043,,0.048
629078638217140,,,0.078,,,0.039,0.014,0.03,,,0.083,,0.049,,0.039,0.048,,0.324,,,0.054,0.128,,,,,0.034,,0.033,,0.045
885064538867562,,,0.107,,,0.05,0.029,0.052,,,0.084,,0.047,,0.048,0.056,,0.207,,,0.053,0.116,,,,,0.075,,0.032,,0.045
910187499608673,,,0.092,,,0.041,0.021,0.044,,,0.098,,0.068,,0.042,0.048,,0.217,,,0.065,0.123,,,,,0.064,,0.031,,0.047
891990091483856,,,0.106,,,0.056,0.033,0.041,,,0.117,,0.061,,0.051,0.053,,0.097,,,0.059,0.121,,,,,0.104,,0.048,,0.052
3027891527450115,,,0.108,,,0.052,0.034,0.049,,,0.115,,0.062,,0.046,0.054,,0.104,,,0.058,0.116,,,,,0.107,,0.042,,0.05
4969882129702541,,,0.089,,,0.044,0.022,0.037,,,0.105,,0.059,,0.048,0.051,,0.201,,,0.057,0.126,,,,,0.065,,0.041,,0.054
866373847377091,,,,,,,,0.055,,,,,,,,,,,0.003,,,,,,,,0.943,,,,
1138001199941428,,,,,,,,0.035,,,,,,,,,,,0.004,,,,,,,,0.962,,,,
586246472652796,,,0.112,,,0.053,0.034,0.045,,,0.088,,0.062,,0.048,0.057,,0.156,,,0.059,0.1,,,,,0.097,,0.037,,0.051
477282730582364,,,0.093,,,0.055,0.028,0.041,,,0.087,,0.059,,0.041,0.051,,0.226,,,0.062,0.124,,,,,0.055,,0.037,,0.041
961916337727892,,,0.087,,,0.046,0.013,0.035,,,0.089,,0.054,,0.044,0.049,,0.274,,,0.044,0.129,,,,,0.056,,0.036,,0.045
346120453982984,,,0.104,,,0.065,0.023,0.042,,,0.086,,0.046,,0.045,0.06,,0.162,,,0.059,0.129,,,,,0.08,,0.038,,0.061
1269737253452890,,,0.089,,,0.041,0.018,0.039,,,0.099,,0.058,,0.051,0.052,,0.21,,,0.056,0.134,,,,,0.06,,0.043,,0.05
271440114924930,,,0.109,,,0.054,0.035,0.05,,,0.112,,0.058,,0.048,0.055,,0.11,,,0.056,0.111,,,,,0.109,,0.043,,0.048
371185711448401,,,0.084,,,0.041,0.02,0.044,,,0.101,,0.068,,0.04,0.046,,0.222,,,0.068,0.128,,,,,0.057,,0.032,,0.047
641421033935520,,,0.109,,,0.055,0.032,0.04,,,0.115,,0.062,,0.051,0.055,,0.105,,,0.058,0.122,,,,,0.095,,0.051,,0.053
587522299249578,,,0.112,,,0.051,0.036,0.05,,,0.114,,0.059,,0.046,0.058,,0.109,,,0.056,0.111,,,,,0.108,,0.041,,0.05
187563593567524,,,0.11,,,0.056,0.023,0.045,,,0.119,,0.061,,0.051,0.06,,0.12,,,0.056,0.136,,,,,0.063,,0.05,,0.052
584882776133366,,,0.089,,,0.044,0.015,0.036,,,0.104,,0.064,,0.048,0.05,,0.212,,,0.056,0.144,,,,,0.043,,0.04,,0.055
716964016373444,,,0.114,,,0.056,0.033,0.047,,,0.125,,0.064,,0.045,0.053,,0.093,,,0.058,0.124,,,,,0.096,,0.042,,0.05
172431191695536,,,0.092,,,0.046,0.018,0.05,,,0.109,,0.065,,0.046,0.05,,0.2,,,0.058,0.138,,,,,0.044,,0.04,,0.044
2724159474543612,,,0.107,,,0.053,0.03,0.042,,,0.114,,0.059,,0.05,0.056,,0.113,,,0.061,0.12,,,,,0.093,,0.047,,0.055
3013065209011361,,,0.085,,,0.04,0.02,0.036,,,0.103,,0.061,,0.046,0.049,,0.228,,,0.052,0.129,,,,,0.058,,0.04,,0.053
1014747189094867,,,0.088,,,0.04,0.019,0.041,,,0.093,,0.063,,0.039,0.048,,0.247,,,0.063,0.127,,,,,0.056,,0.03,,0.045
1250943628745064,,,0.111,,,0.052,0.036,0.052,,,0.108,,0.06,,0.037,0.061,,0.11,,,0.054,0.1,,,,,0.129,,0.043,,0.045
315576683396815,,,0.109,,,0.054,0.034,0.041,,,0.116,,0.058,,0.05,0.056,,0.102,,,0.06,0.118,,,,,0.106,,0.049,,0.047
264495885509516,,,0.09,,,0.039,0.022,0.04,,,0.104,,0.056,,0.049,0.052,,0.219,,,0.055,0.123,,,,,0.066,,0.038,,0.049
289122103086317,,,0.111,,,0.052,0.037,0.053,,,0.114,,0.054,,0.048,0.06,,0.108,,,0.055,0.105,,,,,0.114,,0.042,,0.047
646169763080499,,,0.088,,,0.039,0.024,0.044,,,0.098,,0.061,,0.038,0.048,,0.232,,,0.064,0.118,,,,,0.071,,0.032,,0.044
320940476123577,,,0.119,,,0.051,0.029,0.043,,,0.095,,0.053,,0.046,0.063,,0.164,,,0.057,0.128,,,,,0.068,,0.039,,0.046
439818027509803,,,0.074,,,0.042,0.011,0.032,,,0.091,,0.056,,0.046,0.045,,0.286,,,0.044,0.16,,,,,0.032,,0.035,,0.046
682218279339239,,,0.077,,,0.041,0.012,0.035,,,0.09,,0.05,,0.033,0.047,,0.31,,,0.045,0.155,,,,,0.038,,0.031,,0.037
395727805589334,,,0.094,,,0.054,0.017,0.033,,,0.093,,0.051,,0.053,0.059,,0.192,,,0.052,0.147,,,,,0.053,,0.054,,0.047
892426754811485,,,0.108,,,0.051,0.036,0.048,,,0.114,,0.059,,0.047,0.058,,0.106,,,0.056,0.107,,,,,0.118,,0.043,,0.049
284114213608132,,,0.106,,,0.054,0.033,0.044,,,0.115,,0.061,,0.05,0.057,,0.101,,,0.06,0.117,,,,,0.101,,0.05,,0.053
3089504431281717,,,0.087,,,0.039,0.022,0.046,,,0.093,,0.07,,0.041,0.044,,0.224,,,0.066,0.128,,,,,0.059,,0.03,,0.05
3181302338821514,,,0.085,,,0.04,0.021,0.037,,,0.105,,0.061,,0.047,0.049,,0.21,,,0.053,0.133,,,,,0.065,,0.041,,0.051
597814461368058,,,0.109,,,0.051,0.036,0.05,,,0.09,,0.051,,0.052,0.055,,0.136,,,0.058,0.128,,,,,0.095,,0.046,,0.043
633143104508748,,,0.09,,,0.046,0.031,0.038,,,0.089,,0.068,,0.033,0.046,,0.246,,,0.054,0.118,,,,,0.053,,0.038,,0.05
409988133998329,,,0.109,,,0.055,0.034,0.042,,,0.091,,0.056,,0.042,0.053,,0.152,,,0.061,0.116,,,,,0.106,,0.041,,0.044
