page_name,page_id,total_ads,unique_ads,percent_unique,avg_words,avg_spend,per_ad_avg_spend,total_avg_impressions,per_ad_avg_impression,total_min_reach,per_ad_min_reach,avg_ad_runtime
Generál Pavel,102389958091735,2137,384,0.18,54,2485382,1163,65263432,30540,615887137,288202,4.8
Tomio Okamura - SPD,179497582061065,1936,1675,0.865,263,1993032,1029,25034032,12931,1889111936,975781,1.5
Petr Fiala,487445514669670,824,393,0.477,74,2001438,2429,47251588,57344,252813923,306813,4.2
Česká pirátská strana,109323929038,715,330,0.462,134,804392,1125,11448142,16011,284114507,397363,7.2
ODS - Občanská demokratická strana,30575632699,613,315,0.514,54,935294,1526,26036694,42474,193290613,315319,3.9
Starostové a nezávislí • STAN,370583064327,597,496,0.831,70,602102,1009,8043202,13473,169963488,284696,5.7
Zbyněk Stanjura,134443820058669,446,212,0.475,55,488077,1094,13251277,29711,193474446,433799,3.4
Kde fondy EU pomáhají,470593056405865,392,22,0.056,17,283154,722,5106304,13026,180318966,459997,11.1
Marian Jurečka,356451014434612,345,321,0.93,74,435478,1262,11261828,32643,139310543,403799,7.4
Ondřej Prokop,197010357446014,318,180,0.566,975,238441,750,1329341,4180,11095417,34891,3.4
KDU-ČSL,251656685576,287,252,0.878,97,1054606,3675,35237356,122778,265200287,924043,8.6
ČSSD,111041662264882,261,174,0.667,65,1922870,7367,21649870,82950,164780261,631342,5.7
TOP 09,90002267161,240,212,0.883,86,686130,2859,8083380,33681,37110240,154626,9.1
Jan Skopeček,1434319750128022,234,170,0.726,59,262683,1123,2835383,12117,53911234,230390,5.5
Andrej Babiš,214827221987263,208,107,0.514,59,2014696,9686,11688896,56197,61155307,294016,2.7
Zelení - Strana zelených,39371299263,205,98,0.478,118,766948,3741,6678898,32580,30235205,147489,6.3
Martin Baxa,146713862010620,197,87,0.442,116,163502,830,1221402,6200,24198197,122833,2.9
Aliance pro budoucnost,109787574497667,196,147,0.75,32,535952,2734,11559402,58977,168865394,861558,16.8
Generál Pavel - Spolu silnější,102389958091735,186,61,0.328,67,93907,505,1298907,6983,63310186,340377,5.2
Martin Kupka,553773474671244,165,111,0.673,93,111418,675,1610918,9763,49705165,301243,6.4
KSČM - Komunistická strana Čech a Moravy,298789466930469,164,88,0.537,104,887068,5409,4431918,27024,135660164,827196,4.7
Olga Richterová - poslankyně,102844685102730,159,102,0.642,199,128170,806,786420,4946,12050159,75787,2.1
České zájmy v EU,108726857444837,151,70,0.464,88,209624,1388,5456424,36135,62830151,416094,4.3
Milion chvilek pro demokracii,728495140691300,134,94,0.701,83,737383,5503,8470433,63212,18620332,138958,4.1
Robert Šlachta,103430204491217,127,95,0.748,91,753886,5936,7674436,60429,81660127,642993,7.7
Stanislav Blaha,495496033796328,124,98,0.79,136,89738,724,1063938,8580,4605124,37138,6.6
Mikuláš Peksa,356448681873897,113,103,0.912,111,283694,2511,3834944,33938,57820113,511682,6.5
Spolu21,100201752249169,91,40,0.44,28,108354,1191,1997954,21956,50800091,558243,9.5
Trikolóra,739115596482745,76,59,0.776,70,288262,3793,3634462,47822,43290076,569606,4.6
"Václav Salač - hráč, trenér mládeže, milovník fotbalu",100102138818077,59,47,0.797,76,144220,2444,4295470,72805,56550059,958476,21.4
Pavla Golasowská,1795946254027412,52,48,0.923,129,37574,723,1056474,20317,9700052,186539,3.4
Evropská komise v ČR,397919187215,48,44,0.917,40,39076,814,304476,6343,6470048,134793,9.1
Tomáš Zdechovský,275042429350706,47,46,0.979,91,76376,1625,1463476,31138,36150047,769150,6.3
Pavel Svoboda,104264008348176,44,34,0.773,53,60878,1384,533978,12136,2388044,54274,7.9
Martin Kuba,114474108677288,43,35,0.814,163,109078,2537,1299478,30220,5141043,119559,3.5
Alena Schillerová,384187235387895,39,31,0.795,56,253080,6489,1663480,42653,4890039,125386,2
Jana Černochová,112718776235,37,37,1,95,287782,7778,5607982,151567,15160037,409731,4.6
"Robin Povšík, zastupitel Mladé Boleslavi, ČSSD",301147597357008,34,33,0.971,54,29483,867,430983,12676,620034,18236,3.9
Jan Lipavský,108697510778834,29,25,0.862,175,45786,1579,227986,7862,2130029,73449,3.3
Pavel Bělobrádek,156945169098,28,27,0.964,21,38686,1382,390986,13964,1700028,60715,6.2
Daniel Kůs - kandidát do Poslanecké sněmovny PČR,101894271393926,24,21,0.875,72,53238,2218,244988,10208,1978024,82418,3
Kancelář Evropského parlamentu,278212515809,22,18,0.818,56,23889,1086,707989,32181,19001022,863683,5.8
Daniel Kůs - zastupitel Plzně,101894271393926,21,17,0.81,65,30490,1452,127490,6071,688021,32763,3.1
KHNP,106008800769282,21,9,0.429,44,315490,15023,7209990,343333,21000021,1000001,6.7
Sev.en Energy,992555574111774,21,2,0.095,26,79040,3764,1085490,51690,11270021,536668,9
Ivo Valenta,1414644678821208,19,19,1,246,20790,1094,243490,12815,1710019,90001,3.5
Matěj Havel,351488672592066,15,11,0.733,90,26692,1779,248992,16599,1500015,100001,3.5
Jan Lipavský - poslanec,108697510778834,13,11,0.846,188,7144,550,36494,2807,2600013,200001,1.5
MUDr. Ivan David,466459903794526,11,11,1,1077,22294,2027,269994,24545,2750110,250010,4.6
Jan Grolich I Hejtman JMK,1681478228766601,7,6,0.857,54,1746,249,53496,7642,320007,45715,3.7
Tomáš Goláň - senátor,1917661888252695,7,7,1,368,59496,8499,462496,66071,5020007,717144,6.1
František Talíř,2108659169383946,6,4,0.667,126,1797,300,16997,2833,460006,76668,6.4
ANO,211401918930049,4,2,0.5,74,13098,3274,83998,21000,1060004,265001,2.2
Jiří Štěpán,424122987643945,4,1,0.25,141,38498,9624,196998,49250,220004,55001,4.2
Alexandr Vondra,317802208282505,1,1,1,7,150,150,2500,2500,500001,500001,3
Jiří Kadeřávek - zakladatel Pirátů,104517784280261,1,1,1,130,50,50,500,500,100,100,0
Martin Půta,326507470746765,1,1,1,261,1250,1250,12500,12500,100001,100001,4
Svoboda a přímá demokracie - SPD,937443906286455,1,1,1,33,1250,1250,17500,17500,1000001,1000001,1
Václav Klaus ml.,277957209202178,1,1,1,15,1750,1750,22500,22500,500001,500001,0
