page_name,page_id,total_ads,avg_female_13_17,avg_female_18_24,avg_female_25_34,avg_female_35_44,avg_female_45_54,avg_female_55_64,avg_female_65_plus,avg_male_13_17,avg_male_18_24,avg_male_25_34,avg_male_35_44,avg_male_45_54,avg_male_55_64,avg_male_65_plus,avg_female,avg_male,avg_13_17,avg_18_24,avg_25_34,avg_35_44,avg_45_54,avg_55_64,avg_65_plus
Generál Pavel - Spolu silnější,102389958091735,1517,0,0.156,0.145,0.05,0.031,0.02,0.015,0,0.169,0.235,0.094,0.045,0.02,0.015,0.418,0.58,0,0.326,0.38,0.144,0.076,0.04,0.031
Tomio Okamura - SPD,179497582061065,1227,0.004,0.011,0.015,0.035,0.071,0.105,0.098,0.014,0.073,0.089,0.126,0.152,0.112,0.092,0.339,0.658,0.018,0.084,0.104,0.161,0.223,0.218,0.19
Petr Fiala,487445514669670,438,0,0.044,0.075,0.081,0.077,0.038,0,0,0.143,0.211,0.165,0.117,0.046,0,0.313,0.682,0,0.187,0.286,0.246,0.193,0.083,0
Česká pirátská strana,109323929038,348,0.004,0.067,0.056,0.033,0.037,0.054,0.081,0.006,0.149,0.154,0.106,0.082,0.071,0.094,0.332,0.662,0.01,0.215,0.21,0.139,0.119,0.125,0.176
ODS - Občanská demokratická strana,30575632699,317,0,0.046,0.07,0.075,0.074,0.039,0,0,0.159,0.19,0.16,0.126,0.055,0.001,0.305,0.69,0,0.205,0.26,0.235,0.2,0.094,0.001
Kde fondy EU pomáhají,470593056405865,256,0.001,0.181,0.138,0.087,0.06,0.044,0.033,0.001,0.183,0.12,0.059,0.037,0.028,0.023,0.543,0.451,0.002,0.363,0.258,0.146,0.097,0.072,0.057
Zbyněk Stanjura,134443820058669,249,0,0.035,0.062,0.077,0.083,0.055,0,0,0.126,0.173,0.168,0.143,0.073,0,0.312,0.684,0,0.161,0.235,0.245,0.226,0.128,0
"Ondřej Prokop, místostarosta Prahy 11",197010357446014,233,0,0.007,0.051,0.091,0.098,0.124,0.197,0,0.032,0.096,0.094,0.075,0.056,0.075,0.569,0.427,0,0.04,0.147,0.184,0.174,0.18,0.272
KDU-ČSL,251656685576,191,0,0.152,0.084,0.069,0.055,0.043,0.038,0,0.158,0.15,0.107,0.065,0.035,0.037,0.443,0.553,0,0.311,0.235,0.176,0.12,0.079,0.075
Starostové a nezávislí • STAN,370583064327,137,0.022,0.089,0.061,0.06,0.059,0.053,0.06,0.02,0.12,0.131,0.108,0.093,0.062,0.056,0.405,0.59,0.042,0.209,0.193,0.169,0.151,0.115,0.116
Marian Jurečka,356451014434612,132,0,0.15,0.08,0.066,0.051,0.046,0.05,0,0.168,0.155,0.102,0.061,0.033,0.034,0.443,0.552,0,0.317,0.235,0.169,0.112,0.079,0.084
TOP 09,90002267161,123,0,0.046,0.094,0.069,0.055,0.028,0.022,0,0.133,0.248,0.147,0.094,0.035,0.022,0.314,0.68,0,0.179,0.342,0.217,0.149,0.062,0.044
Aliance pro budoucnost,109787574497667,106,0,0.033,0.034,0.033,0.045,0.064,0.028,0,0.163,0.229,0.148,0.119,0.076,0.024,0.237,0.758,0,0.197,0.263,0.181,0.164,0.14,0.051
ČSSD,111041662264882,101,0,0.018,0.098,0.119,0.094,0.065,0.05,0,0.045,0.169,0.151,0.101,0.048,0.038,0.445,0.551,0,0.063,0.267,0.27,0.195,0.113,0.088
Mikuláš Peksa,356448681873897,95,0,0.059,0.044,0.045,0.044,0.01,0.003,0,0.207,0.281,0.189,0.099,0.01,0.001,0.206,0.787,0,0.266,0.325,0.235,0.142,0.021,0.004
Spolu21,100201752249169,91,0,0.026,0.046,0.048,0.044,0.057,0.092,0,0.116,0.134,0.127,0.103,0.091,0.108,0.313,0.679,0,0.143,0.181,0.174,0.147,0.148,0.2
Robert Šlachta,103430204491217,84,0.005,0.103,0.057,0.067,0.078,0.086,0.089,0.005,0.104,0.099,0.094,0.087,0.059,0.06,0.486,0.509,0.01,0.208,0.156,0.161,0.165,0.145,0.149
Milion chvilek pro demokracii,728495140691300,78,0,0.056,0.106,0.103,0.082,0.069,0.074,0,0.073,0.124,0.111,0.083,0.056,0.055,0.489,0.502,0,0.129,0.23,0.214,0.165,0.125,0.129
České zájmy v EU,108726857444837,72,0,0.017,0.042,0.093,0.105,0.084,0.091,0,0.063,0.119,0.11,0.1,0.081,0.091,0.432,0.564,0,0.081,0.161,0.202,0.204,0.164,0.183
Olga Richterová - poslankyně,102844685102730,70,0,0.068,0.18,0.179,0.121,0.074,0.069,0,0.043,0.085,0.074,0.05,0.026,0.027,0.691,0.305,0.001,0.111,0.264,0.252,0.17,0.1,0.096
Andrej Babiš,214827221987263,45,0.005,0.05,0.075,0.094,0.11,0.103,0.097,0.005,0.093,0.108,0.088,0.077,0.046,0.046,0.535,0.463,0.01,0.143,0.183,0.182,0.187,0.149,0.143
