page_name,page_id,total_ads,unique_ads,percent_unique,avg_words,avg_spend,per_ad_avg_spend,total_avg_impressions,per_ad_avg_impression,total_min_reach,per_ad_min_reach,avg_ad_runtime,avg_female_13_17,avg_female_18_24,avg_female_25_34,avg_female_35_44,avg_female_45_54,avg_female_55_64,avg_female_65_plus,avg_male_13_17,avg_male_18_24,avg_male_25_34,avg_male_35_44,avg_male_45_54,avg_male_55_64,avg_male_65_plus,avg_female,avg_male,avg_13_17,avg_18_24,avg_25_34,avg_35_44,avg_45_54,avg_55_64,avg_65_plus,avg_pha,avg_stc,avg_jhc,avg_plk,avg_kvk,avg_ulk,avg_lbk,avg_hkk,avg_pak,avg_vys,avg_jhm,avg_olk,avg_msk,avg_zlk
Generál Pavel,102389958091735,1981,363,0.183,54,2408160,1216,63478510,32044,597216981,301472,4.9,0,0.099,0.176,0.056,0.035,0.019,0.009,0,0.112,0.287,0.104,0.051,0.02,0.01,0.393,0.584,0,0.211,0.463,0.16,0.085,0.039,0.019,0.156,0.098,0.055,0.053,0.027,0.078,0.041,0.051,0.048,0.044,0.121,0.058,0.102,0.049
Tomio Okamura - SPD,179497582061065,1883,1625,0.863,264,1967558,1045,24687058,13110,1834111881,974037,1.5,0.003,0.012,0.017,0.036,0.068,0.099,0.092,0.01,0.075,0.102,0.131,0.151,0.109,0.088,0.327,0.666,0.013,0.088,0.119,0.167,0.219,0.208,0.18,0.102,0.093,0.053,0.056,0.038,0.107,0.052,0.049,0.046,0.039,0.111,0.065,0.133,0.052
Petr Fiala,487445514669670,800,381,0.476,74,1940000,2425,46500600,58126,251013899,313767,4.2,0,0.034,0.062,0.067,0.068,0.035,0.001,0,0.143,0.237,0.175,0.123,0.048,0.001,0.266,0.726,0,0.176,0.298,0.242,0.191,0.083,0.002,0.196,0.1,0.054,0.049,0.027,0.069,0.041,0.05,0.051,0.041,0.146,0.048,0.078,0.048
Česká pirátská strana,109323929038,712,327,0.459,134,798944,1122,11386644,15992,282114504,396228,7.2,0.023,0.091,0.073,0.042,0.031,0.044,0.062,0.017,0.136,0.143,0.095,0.065,0.056,0.07,0.365,0.581,0.04,0.227,0.216,0.136,0.096,0.1,0.132,0.197,0.084,0.049,0.044,0.03,0.067,0.043,0.046,0.043,0.057,0.105,0.051,0.093,0.046
ODS - Občanská demokratická strana,30575632699,597,307,0.514,54,911252,1526,25629702,42931,192090597,321760,3.9,0,0.033,0.056,0.062,0.065,0.036,0.002,0,0.157,0.225,0.173,0.131,0.054,0,0.253,0.74,0,0.19,0.281,0.234,0.196,0.09,0.002,0.204,0.105,0.054,0.052,0.026,0.074,0.041,0.05,0.046,0.043,0.127,0.049,0.083,0.046
Starostové a nezávislí • STAN,370583064327,596,495,0.831,70,601652,1009,8036702,13484,168963487,283496,5.7,0.006,0.089,0.11,0.091,0.066,0.044,0.041,0.006,0.101,0.159,0.121,0.076,0.04,0.035,0.447,0.537,0.012,0.19,0.269,0.212,0.143,0.084,0.076,0.09,0.169,0.045,0.075,0.037,0.079,0.046,0.034,0.036,0.045,0.141,0.079,0.065,0.047
Zbyněk Stanjura,134443820058669,428,203,0.474,55,467886,1093,13011286,30400,192124428,448889,3.3,0,0.031,0.055,0.07,0.079,0.056,0,0,0.123,0.182,0.175,0.149,0.076,0,0.291,0.705,0,0.154,0.236,0.245,0.229,0.131,0,0.171,0.105,0.063,0.056,0.028,0.083,0.042,0.055,0.048,0.041,0.116,0.05,0.097,0.044
Kde fondy EU pomáhají,470593056405865,373,19,0.051,18,263314,706,4584314,12290,167616848,449375,11.4,0.004,0.153,0.128,0.094,0.065,0.045,0.036,0.004,0.141,0.119,0.066,0.042,0.026,0.025,0.525,0.423,0.007,0.294,0.247,0.161,0.107,0.071,0.06,0.113,0.091,0.079,0.065,0.032,0.079,0.051,0.05,0.058,0.05,0.093,0.056,0.095,0.043
Marian Jurečka,356451014434612,345,321,0.93,74,435478,1262,11261828,32643,139310543,403799,7.4,0,0.114,0.086,0.071,0.058,0.051,0.049,0,0.135,0.167,0.115,0.069,0.037,0.038,0.43,0.561,0,0.25,0.253,0.186,0.127,0.088,0.087,0.078,0.058,0.043,0.042,0.029,0.06,0.031,0.05,0.042,0.058,0.104,0.252,0.076,0.073
Ondřej Prokop,197010357446014,299,164,0.548,995,224400,751,1263850,4227,10044397,33593,3.4,0,0.007,0.045,0.079,0.089,0.118,0.189,0,0.031,0.092,0.091,0.076,0.058,0.081,0.527,0.429,0,0.038,0.137,0.17,0.165,0.176,0.271,0.721,0.055,0.015,0.012,0.011,0.027,0.016,0.012,0.012,0.009,0.025,0.013,0.023,0.01
KDU-ČSL,251656685576,276,243,0.88,97,1016662,3684,33742362,122255,254200276,921015,8.6,0,0.165,0.088,0.07,0.056,0.041,0.035,0,0.158,0.148,0.105,0.063,0.032,0.033,0.454,0.54,0,0.323,0.236,0.175,0.119,0.073,0.067,0.104,0.097,0.056,0.055,0.032,0.085,0.045,0.05,0.048,0.049,0.132,0.076,0.111,0.06
ČSSD,111041662264882,261,174,0.667,65,1922870,7367,21649870,82950,164780261,631342,5.7,0,0.01,0.087,0.114,0.11,0.088,0.078,0,0.02,0.119,0.135,0.112,0.061,0.05,0.487,0.498,0,0.03,0.206,0.249,0.222,0.15,0.128,0.109,0.095,0.053,0.053,0.037,0.108,0.045,0.051,0.048,0.043,0.113,0.059,0.124,0.053
TOP 09,90002267161,240,212,0.883,86,686130,2859,8083380,33681,37110240,154626,9.1,0,0.059,0.089,0.071,0.055,0.017,0.013,0,0.148,0.241,0.163,0.1,0.022,0.014,0.304,0.687,0,0.206,0.33,0.233,0.155,0.039,0.027,0.216,0.097,0.043,0.076,0.04,0.046,0.049,0.059,0.061,0.045,0.085,0.06,0.074,0.049
Jan Skopeček,1434319750128022,234,170,0.726,59,262683,1123,2835383,12117,53911234,230390,5.5,0,0.024,0.044,0.063,0.067,0.057,0.039,0,0.074,0.169,0.167,0.134,0.069,0.039,0.294,0.653,0,0.098,0.214,0.231,0.201,0.126,0.077,0.04,0.885,0.002,0.003,0.001,0.007,0.002,0.002,0.001,0.001,0.004,0.002,0.003,0.001
Zelení - Strana zelených,39371299263,205,98,0.478,118,766948,3741,6678898,32580,30235205,147489,6.3,0,0.221,0.208,0.148,0.085,0.053,0.049,0,0.066,0.065,0.047,0.027,0.013,0.011,0.765,0.23,0,0.287,0.273,0.195,0.112,0.066,0.061,0.231,0.09,0.05,0.044,0.022,0.079,0.037,0.043,0.04,0.035,0.138,0.051,0.096,0.043
Andrej Babiš,214827221987263,204,105,0.515,59,1977448,9693,11543898,56588,60935303,298702,2.7,0.001,0.038,0.067,0.073,0.085,0.095,0.112,0.001,0.091,0.128,0.094,0.076,0.052,0.06,0.47,0.503,0.002,0.129,0.195,0.167,0.161,0.147,0.172,0.111,0.101,0.054,0.052,0.04,0.099,0.045,0.047,0.043,0.038,0.107,0.059,0.123,0.057
Generál Pavel - Spolu silnější,102389958091735,197,61,0.31,67,95752,486,1327402,6738,66910197,339646,5.1,0,0.135,0.11,0.037,0.028,0.018,0.024,0,0.154,0.18,0.066,0.035,0.015,0.016,0.354,0.467,0,0.289,0.29,0.104,0.063,0.033,0.04,0.14,0.082,0.049,0.047,0.023,0.066,0.033,0.043,0.039,0.035,0.094,0.047,0.085,0.039
Martin Baxa,146713862010620,197,87,0.442,116,163502,830,1221402,6200,24198197,122833,2.9,0,0.04,0.079,0.098,0.089,0.076,0.068,0,0.078,0.138,0.112,0.082,0.049,0.039,0.451,0.499,0,0.119,0.217,0.211,0.171,0.125,0.107,0.029,0.011,0.006,0.833,0.008,0.011,0.004,0.005,0.005,0.004,0.013,0.007,0.012,0.005
Aliance pro budoucnost,109787574497667,196,147,0.75,32,535952,2734,11559402,58977,168865394,861558,16.8,0,0.067,0.036,0.028,0.04,0.061,0.032,0,0.167,0.198,0.132,0.108,0.084,0.033,0.265,0.722,0,0.234,0.234,0.16,0.148,0.145,0.064,0.13,0.097,0.057,0.053,0.031,0.093,0.043,0.054,0.051,0.048,0.118,0.06,0.107,0.054
Martin Kupka,553773474671244,165,111,0.673,93,111418,675,1610918,9763,49705165,301243,6.4,0,0.043,0.139,0.118,0.074,0.031,0.011,0,0.063,0.204,0.139,0.078,0.029,0.014,0.416,0.527,0,0.106,0.343,0.256,0.152,0.06,0.025,0.045,0.845,0.003,0.007,0,0.025,0.014,0.005,0.001,0.001,0,0,0,0
KSČM - Komunistická strana Čech a Moravy,298789466930469,164,88,0.537,104,887068,5409,4431918,27024,135660164,827196,4.7,0,0.026,0.042,0.045,0.052,0.066,0.086,0,0.077,0.146,0.139,0.117,0.089,0.087,0.315,0.656,0,0.103,0.187,0.184,0.169,0.155,0.173,0.141,0.095,0.087,0.038,0.035,0.112,0.047,0.043,0.041,0.045,0.106,0.051,0.093,0.042
Olga Richterová - poslankyně,102844685102730,159,102,0.642,199,128170,806,786420,4946,12050159,75787,2.1,0,0.078,0.187,0.178,0.111,0.068,0.065,0,0.035,0.091,0.073,0.046,0.025,0.026,0.687,0.296,0,0.113,0.278,0.251,0.158,0.093,0.09,0.779,0.203,0,0,0,0.002,0,0,0,0,0.001,0,0.001,0
České zájmy v EU,108726857444837,139,68,0.489,89,200830,1445,5262430,37859,58530139,421080,4.5,0,0.023,0.053,0.078,0.08,0.066,0.068,0,0.084,0.177,0.134,0.097,0.064,0.071,0.369,0.627,0,0.107,0.23,0.212,0.177,0.13,0.138,0.127,0.093,0.054,0.051,0.04,0.109,0.044,0.051,0.047,0.042,0.109,0.059,0.123,0.052
Milion chvilek pro demokracii,728495140691300,131,92,0.702,82,722884,5518,8217934,62732,18320329,139850,4.1,0,0.075,0.129,0.081,0.061,0.05,0.054,0,0.113,0.174,0.096,0.067,0.043,0.042,0.45,0.534,0,0.187,0.303,0.176,0.128,0.094,0.096,0.249,0.095,0.049,0.058,0.015,0.05,0.03,0.07,0.052,0.046,0.118,0.045,0.078,0.037
