page_name,page_id,total_ads,avg_pha,avg_stc,avg_jhc,avg_plk,avg_kvk,avg_ulk,avg_lbk,avg_hkk,avg_pak,avg_vys,avg_jhm,avg_olk,avg_msk,avg_zlk
Generál Pavel - Spolu silnější,102389958091735,1750,0.158,0.099,0.057,0.054,0.028,0.081,0.041,0.052,0.048,0.045,0.122,0.059,0.104,0.05
Tomio Okamura - SPD,179497582061065,1403,0.103,0.094,0.052,0.054,0.038,0.107,0.05,0.049,0.046,0.039,0.113,0.067,0.134,0.054
Petr Fiala,487445514669670,518,0.196,0.105,0.053,0.049,0.025,0.074,0.039,0.05,0.046,0.041,0.139,0.049,0.086,0.046
Česká pirátská strana,109323929038,410,0.201,0.097,0.05,0.046,0.03,0.072,0.043,0.049,0.044,0.039,0.123,0.056,0.103,0.048
ODS - Občanská demokratická strana,30575632699,391,0.196,0.106,0.055,0.051,0.026,0.078,0.041,0.05,0.046,0.042,0.123,0.05,0.089,0.046
Kde fondy EU pomáhají,470593056405865,313,0.12,0.099,0.066,0.069,0.034,0.084,0.054,0.057,0.063,0.058,0.097,0.057,0.095,0.046
Zbyněk Stanjura,134443820058669,299,0.176,0.105,0.066,0.058,0.028,0.081,0.042,0.057,0.047,0.04,0.117,0.049,0.09,0.044
"Ondřej Prokop, místostarosta Prahy 11",197010357446014,249,0.775,0.054,0.014,0.012,0.01,0.025,0.015,0.012,0.011,0.008,0.023,0.011,0.021,0.009
KDU-ČSL,251656685576,210,0.1,0.095,0.055,0.05,0.031,0.081,0.045,0.049,0.049,0.051,0.142,0.074,0.113,0.065
Marian Jurečka,356451014434612,201,0.097,0.054,0.035,0.044,0.015,0.055,0.031,0.051,0.037,0.078,0.103,0.237,0.08,0.081
Starostové a nezávislí • STAN,370583064327,175,0.14,0.149,0.064,0.065,0.041,0.088,0.042,0.05,0.03,0.051,0.111,0.067,0.059,0.042
Martin Baxa,146713862010620,151,0.039,0.014,0.008,0.839,0.011,0.014,0.006,0.006,0.007,0.005,0.018,0.01,0.016,0.007
TOP 09,90002267161,148,0.263,0.09,0.03,0.09,0.03,0.034,0.052,0.058,0.074,0.037,0.081,0.05,0.063,0.048
Aliance pro budoucnost,109787574497667,139,0.112,0.098,0.06,0.054,0.031,0.097,0.044,0.053,0.052,0.05,0.123,0.063,0.106,0.057
ČSSD,111041662264882,121,0.112,0.09,0.051,0.056,0.043,0.122,0.045,0.05,0.048,0.041,0.108,0.056,0.128,0.051
Jan Skopeček,1434319750128022,117,0.057,0.894,0.003,0.004,0.001,0.011,0.002,0.003,0.002,0.002,0.01,0.003,0.005,0.002
Mikuláš Peksa,356448681873897,98,0.236,0.085,0.048,0.048,0.024,0.065,0.039,0.048,0.041,0.036,0.132,0.052,0.098,0.047
Robert Šlachta,103430204491217,91,0.095,0.076,0.05,0.039,0.025,0.088,0.041,0.068,0.063,0.04,0.184,0.079,0.113,0.038
Spolu21,100201752249169,91,0.153,0.095,0.051,0.049,0.027,0.084,0.051,0.056,0.047,0.04,0.134,0.062,0.096,0.054
Olga Richterová - poslankyně,102844685102730,84,0.756,0.234,0.001,0.001,0,0.002,0,0.001,0.001,0,0.001,0,0.001,0.001
České zájmy v EU,108726857444837,83,0.14,0.094,0.056,0.05,0.035,0.097,0.046,0.052,0.048,0.041,0.112,0.061,0.114,0.053
Milion chvilek pro demokracii,728495140691300,80,0.269,0.092,0.047,0.053,0.013,0.046,0.026,0.083,0.055,0.048,0.117,0.043,0.077,0.031
Stanislav Blaha,495496033796328,68,0.008,0.005,0.003,0.003,0.002,0.005,0.002,0.003,0.003,0.002,0.008,0.031,0.006,0.921
Andrej Babiš,214827221987263,64,0.109,0.113,0.044,0.057,0.048,0.11,0.047,0.042,0.039,0.034,0.123,0.051,0.14,0.042
