political_subject;url;numeric_page_id
ODS;https://www.facebook.com/ods.cz/;30575632699
Zelení;https://www.facebook.com/stranazelenych/;39371299263
TOP 09;https://www.facebook.com/top09cz/;90002267161
Česká pirátská strana;https://www.facebook.com/ceska.piratska.strana/;109323929038
ODS;https://www.facebook.com/Jana.Cernochova/;112718776235
KSCM;https://www.facebook.com/konecna.k/;119624098506
KDU-ČSL;https://www.facebook.com/Belobradek;156945169098
Evropský parlament - nekandiduje;https://www.facebook.com/europeanparliament/;178362315106
KDU;https://www.facebook.com/kducsl/;251656685576
Starostové pro Liberecký kraj;https://www.facebook.com/starostoveprolibereckykraj/;258989695009
Starostové (STAN);https://www.facebook.com/starostove/;370583064327
ODS, TOP09, KDU-ČSL;https://www.facebook.com/spolu21/;100201752249169
Generál ve výslužbě - nekandiduje;https://www.facebook.com/generalpavel/;102389958091735
Česká pirátská strana;https://www.facebook.com/olga.piratka.richterova;102844685102730
Přísaha;https://www.facebook.com/robertslachtaofficial;103430204491217
KNHP - nekandiduje;https://www.facebook.com/khnp.cz/;106008800769282
ANO2011;https://www.facebook.com/adamvojtech2017/;106891623334554
České zájmy v EU - nekandiduje;https://www.facebook.com/CeskeZajmyEU/;108726857444837
ODA, ADS, SKP, DSZ, Zdraví, sport prosperita, Starostové pro kraj;https://www.facebook.com/alianceprobudoucnost/;109787574497667
Česká pirátská strana;https://www.facebook.com/vojtechpikal;110687557739540
ČSSD;https://www.facebook.com/cssdcz/;111041662264882
Zelení;https://www.facebook.com/zofkovadavismagdalena;115802229102602
KSČM - Komunistická strana Čech a Moravy;https://www.facebook.com/vojtech.filip.politik/;119687288907752
TOP 09;https://www.facebook.com/kalousek.miroslav/;132141523484024
ODS;https://www.facebook.com/ZbynekStanjura/;134443820058669
SPD;https://www.facebook.com/tomio.cz/;179497582061065
ANO 2011 ;https://www.facebook.com/IngOndrejProkop/;197010357446014
ANO 2011;https://www.facebook.com/anobudelip;211401918930049
ANO 2011;https://www.facebook.com/AndrejBabis/ ;214827221987263
ANO2011;https://www.facebook.com/charanzova/;219333261570307
KDU;https://www.facebook.com/tomaszdechovsky/;275042429350706
Trikolóra;https://www.facebook.com/vaclavklausml/;277957209202178
KSČM - Komunistická strana Čech a Moravy;https://www.facebook.com/komunistickastranacechamoravy/;298789466930469
ODS;https://www.facebook.com/a.vondra/;317802208282505
Starostové pro Liberecký kraj;https://www.facebook.com/hejtmanmartinputa/;326507470746765
Česká pirátská strana;https://www.facebook.com/peksamikulas;356448681873897
KDU;https://www.facebook.com/JureckaMarian/;356451014434612
ANO 2011;https://www.facebook.com/SchillerovaAlena;384187235387895
MMR, EU - nekandiduje;https://www.facebook.com/kdefondyeupomahaji/;470593056405865
ODS;https://www.facebook.com/petr.fiala1964/;487445514669670
Milion chvilek pro demokracii - nekandiduje;https://www.facebook.com/milionchvilek/;728495140691300
Trikolóra;https://www.facebook.com/volimtrikoloru/;739115596482745
SPD;https://www.facebook.com/hnutispd/;937443906286455
Sev.en Energy - nekandiduje;https://www.facebook.com/skupinaSev.enEnergy/;992555574111774
Česká pirátská strana;https://www.facebook.com/PiratKolaja;995938427265360
STAN;https://www.facebook.com/farskyjansemily/;1401321553476900
TOP 09;https://www.facebook.com/Marketa.AdamovaTOP09/;1433946376688930
Starostové (STAN);https://www.facebook.com/vitrakusancz/;1477535869227480
ANO 2011;https://www.facebook.com/KlaraDostalovaMMR;1736314393286600
ANO 2011;https://www.facebook.com/karelhavlicek1ekonom;NO_ADS_UNKNOWN_ID
ČSSD;https://www.facebook.com/hamacekjan/;NO_ADS_UNKNOWN_ID
SPD;https://www.facebook.com/foldynajaroslavofficial/;NO_ADS_UNKNOWN_ID
